phenocode	name	category	num_cases	num_controls	gc_lambda	num_gw_significant
AB1_GASTROENTERITIS_NOS	Diarrhoea and gastroenteritis of presumed infectious origin	I Certain infectious and parasitic diseases (AB1_)	18586	234437	1.0523	1
AB1_GHLAMY_OTHER	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	196	260183	0.86692	0
AB1_GONOCOCCAL	Gonococcal infection	I Certain infectious and parasitic diseases (AB1_)	588	253346	1.0331	0
AB1_HELMINTIASES	Helminthiases	I Certain infectious and parasitic diseases (AB1_)	284	260121	0.94514	0
AB1_HEPATITIS_A	Acute hepatitis A	I Certain infectious and parasitic diseases (AB1_)	93	258929	0.69106	0
AB1_HEPATITIS_B	Acute hepatitis B	I Certain infectious and parasitic diseases (AB1_)	80	258929	0.6451	0
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1215	258929	1.0378	0
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	I Certain infectious and parasitic diseases (AB1_)	1969	251948	1.0283	1
AB1_HIV	Human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	400	260005	1.0	0
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	I Certain infectious and parasitic diseases (AB1_)	177	260005	0.84602	0
AB1_INFECTIONS	Certain infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	70078	190327	1.0718	2
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	I Certain infectious and parasitic diseases (AB1_)	25968	234437	1.062	2
AB1_LATE_SYPHILIS	Late syphilis	I Certain infectious and parasitic diseases (AB1_)	217	253346	0.89677	0
AB1_MALARIA	Malaria	I Certain infectious and parasitic diseases (AB1_)	97	260011	0.70929	0
AB1_MEASLES	Measles	I Certain infectious and parasitic diseases (AB1_)	214	251948	0.88817	1
AB1_MENINGOCOCCAL	Meningococcal infection	I Certain infectious and parasitic diseases (AB1_)	151	234755	0.80128	1
AB1_MUMPS	Mumps	I Certain infectious and parasitic diseases (AB1_)	517	254126	1.0188	1
AB1_MYCOSES	Mycoses	I Certain infectious and parasitic diseases (AB1_)	4790	255615	1.0188	2
AB1_OTHER_BACTERIAL	Other bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	25650	234755	1.0475	2
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	160	258697	0.83365	0
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	I Certain infectious and parasitic diseases (AB1_)	222	260183	0.89677	1
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	I Certain infectious and parasitic diseases (AB1_)	370	260005	0.9907	0
AB1_OTHER_INFECTIONS	Other infectious diseases	I Certain infectious and parasitic diseases (AB1_)	1459	258946	1.0235	1
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	I Certain infectious and parasitic diseases (AB1_)	232	234755	0.91415	0
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	I Certain infectious and parasitic diseases (AB1_)	175	234437	0.84188	0
AB1_OTHER_SEPSIS	Other septicaemia	I Certain infectious and parasitic diseases (AB1_)	6513	234755	1.0188	0
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	I Certain infectious and parasitic diseases (AB1_)	1406	258999	1.0331	1
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	I Certain infectious and parasitic diseases (AB1_)	283	255615	0.94514	0
AB1_OTHER_VIRAL	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	6279	254126	1.0188	1
AB1_PARASITIC_NOS	Unspecified parasitic disease	I Certain infectious and parasitic diseases (AB1_)	148	259439	0.80929	1
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	"Pediculosis, acariasis and other infestations"	I Certain infectious and parasitic diseases (AB1_)	966	259439	1.0475	0
AB1_PNEUMOCYSTOSIS	Pneumocystosis	I Certain infectious and parasitic diseases (AB1_)	176	260011	0.85017	1
AB1_POLIOMYELITIS	Acute poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	281	259010	0.94962	0
AB1_PROTOZOAL	Protozoal diseases	I Certain infectious and parasitic diseases (AB1_)	394	260011	1.0	0
AB1_RESP_TUBERCU	Respiratry tuberculosis	I Certain infectious and parasitic diseases (AB1_)	1088	258895	1.0426	0
AB1_RESP_TUBERCU_CONF	"Respiratory tuberculosis, bacteriologically and histologically confirmed"	I Certain infectious and parasitic diseases (AB1_)	318	258895	0.96318	0
AB1_RESP_TUBERCU_NONCONF	"Respiratory tuberculosis, not confirmed bacteriologically or histologically"	I Certain infectious and parasitic diseases (AB1_)	819	258895	1.0426	0
AB1_RUBELLA	Rubella [German measles]	I Certain infectious and parasitic diseases (AB1_)	645	251948	1.0378	0
AB1_SALMONELLA_OTH	Other salmonella infections	I Certain infectious and parasitic diseases (AB1_)	714	234437	1.0331	0
AB1_SCABIES	Scabies	I Certain infectious and parasitic diseases (AB1_)	687	259439	1.0475	0
AB1_SCARLET_FEVER	Scarlet fever	I Certain infectious and parasitic diseases (AB1_)	125	234755	0.76978	0
AB1_SCHISTOSOMIASIS	Schistosomiasis [bilharziasis]	I Certain infectious and parasitic diseases (AB1_)	269	260136	0.93621	0
AB1_SEPSIS	Septicaemia	I Certain infectious and parasitic diseases (AB1_)	7463	234755	1.0235	0
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	1119	258804	1.0331	0
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	I Certain infectious and parasitic diseases (AB1_)	140	258804	0.78937	0
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	I Certain infectious and parasitic diseases (AB1_)	346	258804	0.98146	0
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	1601	258804	1.0331	0
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	I Certain infectious and parasitic diseases (AB1_)	7059	253346	1.0331	2
AB1_SEXUAL_TRANSMISSION_NOS	"Other predominantly sexually transmitted diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3734	253346	1.0331	3
AB1_SPIROCHE_OTHER	"Spirochaetal infections, other/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1350	258999	1.0331	1
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	I Certain infectious and parasitic diseases (AB1_)	1316	234755	1.0283	0
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	115	258697	0.75434	0
AB1_SYPHILIS	Syphilis	I Certain infectious and parasitic diseases (AB1_)	422	253346	1.0047	0
AB1_TOXOPLASMOSIS	Toxoplasmosis	I Certain infectious and parasitic diseases (AB1_)	106	260011	0.72038	0
AB1_TRICHOMONIASIS	Trichomoniasis	I Certain infectious and parasitic diseases (AB1_)	157	253346	0.81736	0
AB1_TUBERCULOSIS	Tuberculosis	I Certain infectious and parasitic diseases (AB1_)	1510	258895	1.0331	1
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	I Certain infectious and parasitic diseases (AB1_)	416	258895	0.9907	0
AB1_TULARAEMIA	Tularaemia	I Certain infectious and parasitic diseases (AB1_)	196	260115	0.86271	0
AB1_VARICELLA	Varicella [chickenpox]	I Certain infectious and parasitic diseases (AB1_)	830	251948	1.0331	0
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	I Certain infectious and parasitic diseases (AB1_)	363	254126	0.98146	0
AB1_VIRAL_CNS	Viral infections of the central nervous system	I Certain infectious and parasitic diseases (AB1_)	1395	259010	1.0331	0
AB1_VIRAL_ENCEPHALITIS_NOS	"Viral encephalitis, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	325	259010	0.97229	0
AB1_VIRAL_HEMOR_FEVER_NOS	"Viral haemorrhagic fevers, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	1397	258642	1.0331	4
AB1_VIRAL_HEPATITIS	Viral hepatitis	I Certain infectious and parasitic diseases (AB1_)	1476	258929	1.0378	1
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	317	258697	0.97229	0
AB1_VIRAL_MENINGITIS	Viral meningitis	I Certain infectious and parasitic diseases (AB1_)	658	259010	1.0331	1
AB1_VIRAL_NOS	"Other viral diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	3734	254126	1.0141	0
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	4916	234437	1.0235	2
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	8457	251948	1.0141	2
AB1_VIRAL_SKIN_NOS	"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	660	251948	1.0378	0
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)	1851	251948	1.0378	1
AB1_VIRAN_CNS_INFECTIONS_NOS	"Viral infections of central nervous system, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	213	259010	0.88389	0
AB1_WHOOPCOUGH	Whooping cough	I Certain infectious and parasitic diseases (AB1_)	108	234755	0.74291	2
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	290	260115	0.94514	0
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	2574	251948	1.0188	1
ABDOM_HERNIA	Hernia of abodminal wall	XI Diseases of the digestive system (K11_)	9245	251160	1.0817	12
ABDOM_HERNIA_POSTOP	"Hernia of abodminal wall, postoperative"	XI Diseases of the digestive system (K11_)	3119	159921	1.0331	1
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	X Diseases of the respiratory system (J10_)	107	260298	0.73912	0
AD_AM	Alzheimer’s disease (Atypical or mixed)	Neurological endpoints	946	255902	1.0426	1
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed) (more control exclusions)	Neurological endpoints	946	131102	1.0426	1
AD_EO	Alzheimer’s disease (Early onset)	Neurological endpoints	681	255891	1.0378	1
AD_EO_EXMORE	Alzheimer’s disease (Early onset) (more control exclusions)	Neurological endpoints	681	131102	1.0378	2
AD_LO	Alzheimer’s disease (Late onset)	Neurological endpoints	3104	255877	1.0475	6
AD_LO_EXMORE	Alzheimer’s disease (Late onset) (more control exclusions)	Neurological endpoints	3104	131102	1.0378	8
AD_U	Alzheimer’s disease (undefined)	Neurological endpoints	209	255905	0.88389	1
AD_U_EXMORE	Alzheimer’s disease (undefined) (more control exclusions)	Neurological endpoints	209	131102	0.88389	1
ALCODELIRIUM	Alcohol withdrawal state with delirium	V Mental and behavioural disorders (F5_)	1436	258969	1.0378	0
ALCOGASTRITIS	Alcoholic gastritis	Alcohol related diseases	311	260094	0.94962	0
ALCOHOLACUTE10	Acute alcohol intoxication	Alcohol related diseases	3944	256461	1.0426	1
ALCOHOLMENTAL	"Mental and behavioural disorders due to alcohol, excluding acute intoxication"	Alcohol related diseases	11639	248766	1.1066	4
ALCOHOL_RELATED	"Alcohol related diseases and deaths, all endoints"	Alcohol related diseases	16304	244101	1.1268	2
ALCOLIVER	Alcoholic liver disease	Alcohol related diseases	1736	258669	1.0331	1
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Alcohol related diseases	390	260015	0.9907	0
ALCOPANCACU	Acohol-induced acute pancreatitis	Alcohol related diseases	573	259832	1.0378	2
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	1206	259199	1.0426	5
ALCOPOLYNEU	Alcohol induced polyneuropathy	Alcohol related diseases	162	260243	0.83365	0
ALCO_PRESCRIPTION	"Use of disulfiram, acamprosate or naltrexone"	Alcohol related diseases	2029	258376	1.0283	0
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	XII Diseases of the skin and subcutaneous tissue (L12_)	358	260047	0.9907	1
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	5881	158452	1.062	13
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more control exclusions)	Asthma and related endpoints	5881	153302	1.062	13
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	6774	252560	1.0669	6
AMN2	Transient global amnesia	Neurological endpoints	1521	249531	1.0426	1
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	173	260232	0.83776	0
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	476	65456	1.0188	0
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	74560	65456	1.1787	5
APPENDACUT_COMPLIC	"Acute appendicitis, with complications"	XI Diseases of the digestive system (K11_)	4496	240075	1.0283	1
APPENDACUT_NOCOMPLIC	"Acute appendicitis, no complications"	XI Diseases of the digestive system (K11_)	14302	240075	1.0571	3
APPENDICITIS_BROAD	"Appendicitis, broad definition"	XI Diseases of the digestive system (K11_)	20164	240075	1.0718	9
ARTHRO_SPEC	Other specific arthropathies	Rheuma endpoints	397	203797	0.99534	1
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	Rheuma endpoints	171	259017	0.84188	1
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	9240	158452	1.0966	11
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	2698	158452	1.0475	5
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more control exclusions)	Asthma and related endpoints	2698	153302	1.0475	5
ASTHMA_CHILD	Childhood asthma (age<16)	Asthma and related endpoints	3654	158452	1.0475	13
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more control exclusions)	Asthma and related endpoints	3654	153302	1.0475	13
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	1464	158452	1.0475	8
ASTHMA_HOSPITAL_MAIN	"Asthma, hospital admissions , main diagnosis only"	Asthma and related endpoints	21351	239054	1.1525	23
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	12642	158452	1.1217	11
ASTHMA_MIXED	Asthma mixed form (mode)	Asthma and related endpoints	1003	158452	1.0426	0
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more control exclusions)	Asthma and related endpoints	1003	153302	1.0426	0
ASTHMA_MODE	Asthma (mode)	Interstitial lung disease endpoints	24164	158900	1.1682	24
ASTHMA_NAS	"Asthma, unspecified (mode)"	Asthma and related endpoints	11988	158452	1.0966	7
ASTHMA_NAS_EXMORE	"Asthma, unspecified (mode) (more control exclusions)"	Asthma and related endpoints	11988	153302	1.0966	8
ASTHMA_NONALLERG	Non-allergic asthma	Asthma and related endpoints	3754	217628	1.0331	0
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	5196	158452	1.0767	1
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	Asthma and related endpoints	715	158452	1.0426	0
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	6905	158452	1.0718	4
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	Asthma and related endpoints	6920	158452	1.0718	4
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	Asthma and related endpoints	565	247317	1.0235	0
ATOPIC_STRICT	"Atopic  dermatitis, strict definition"	XII Diseases of the skin and subcutaneous tissue (L12_)	6412	253666	1.0718	29
ATOPIC_STRICT_REIMB	"Atopic dermatitis, strict definition with reimbursement"	XII Diseases of the skin and subcutaneous tissue (L12_)	6739	236030	1.0718	30
AUD	"Alcohol use disorder, ICD-based"	V Mental and behavioural disorders (F5_)	10688	249717	1.1016	5
AUD_SWEDISH	"Alcohol use disorder, Swedish definition"	Alcohol related diseases	14864	245541	1.1217	1
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	52657	207748	1.1946	87
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	1161	203540	1.0523	5
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	1082	257064	1.0426	0
BRONCHITIS	Bronchitis	Asthma and related endpoints	33511	226894	1.0669	2
C3_AML	Acute myeloid leukaemia	II Neoplasms, from cancer register (ICD-O-3)	118	260287	0.75434	0
C3_AML_EXALLC	Acute myeloid leukaemia (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	118	204069	0.75434	0
C3_ANUS_ANALCANAL	Malignant neoplasm of anus and anal canal	II Neoplasms, from cancer register (ICD-O-3)	161	260244	0.82956	0
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	161	204070	0.83365	0
C3_BILIARY_TRACT	Malignant neoplasm of other and unspecified parts of biliary tract	II Neoplasms, from cancer register (ICD-O-3)	157	260248	0.82956	1
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	157	204070	0.82956	1
C3_BLADDER	Malignant neoplasm of bladder	II Neoplasms, from cancer register (ICD-O-3)	1701	258704	1.0331	2
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1701	204070	1.0378	3
C3_BONE_CARTILAGE	Malignant neoplasm of bone and articular cartilage	II Neoplasms, from cancer register (ICD-O-3)	161	260244	0.83365	0
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	161	204070	0.82956	0
C3_BONE_CARTILAGE_LIMBS	Malignant neoplasm of bone and articular cartilage of limbs	II Neoplasms, from cancer register (ICD-O-3)	83	260322	0.67314	0
C3_BONE_CARTILAGE_LIMBS_EXALLC	Malignant neoplasm of bone and articular cartilage of limbs (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	83	204070	0.67314	0
C3_BRAIN	Malignant neoplasm of brain	II Neoplasms, from cancer register (ICD-O-3)	615	259790	1.0426	1
C3_BRAIN_EXALLC	Malignant neoplasm of brain (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	615	204070	1.0426	1
C3_BREAST	Malignant neoplasm of breast	II Neoplasms, from cancer register (ICD-O-3)	11573	135488	1.0718	35
C3_BREAST_EXALLC	Malignant neoplasm of breast (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	11573	116981	1.0669	40
C3_BREAST_HER2NEG	"Malignant neoplasm of breast, HER2-negative"	II Neoplasms, from cancer register (ICD-O-3)	10538	136521	1.0718	37
C3_BREAST_HER2NEG_EXALLC	"Malignant neoplasm of breast, HER2-negative (controls excluding all cancers)"	II Neoplasms, from cancer register (ICD-O-3)	10538	116981	1.062	36
C3_BREAST_HERNEG	"Malignant neoplasm of breast, HER-negative"	II Neoplasms, from cancer register (ICD-O-3)	4177	136153	1.0283	10
C3_BREAST_HERNEG_EXALLC	"Malignant neoplasm of breast, HER-negative (controls excluding all cancers)"	II Neoplasms, from cancer register (ICD-O-3)	4177	116894	1.0283	11
C3_BREAST_HERPLUS	"Malignant neoplasm of breast, HER-positive"	II Neoplasms, from cancer register (ICD-O-3)	6363	140330	1.0475	23
C3_BREAST_HERPLUS_EXALLC	"Malignant neoplasm of breast, HER-positive (controls excluding all cancers)"	II Neoplasms, from cancer register (ICD-O-3)	6363	116894	1.0475	26
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	II Neoplasms, from cancer register (ICD-O-3)	3061	257344	1.0331	3
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	3061	204021	1.0331	2
C3_CANCER	Malignant neoplasm	II Neoplasms, from cancer register (ICD-O-3)	51271	209134	1.0966	40
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	II Neoplasms, from cancer register (ICD-O-3)	2229	144832	1.0283	2
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2229	116981	1.0283	1
C3_CLL	Chronic lymphocytic leukaemia	II Neoplasms, from cancer register (ICD-O-3)	377	260028	0.99534	0
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	377	204065	0.98607	0
C3_COLON	Malignant neoplasm of colon	II Neoplasms, from cancer register (ICD-O-3)	2594	257811	1.0331	0
C3_COLON_ADENO	Colon adenocarcinoma	II Neoplasms, from cancer register (ICD-O-3)	2009	258396	1.0378	3
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2009	204070	1.0331	4
C3_COLON_EXALLC	Malignant neoplasm of colon (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	2594	204070	1.0331	0
C3_COLORECTAL	Colorectal cancer	II Neoplasms, from cancer register (ICD-O-3)	4401	256004	1.0378	6
C3_COLORECTAL_EXALLC	Colorectal cancer (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	4401	204070	1.0331	5
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	II Neoplasms, from cancer register (ICD-O-3)	408	259997	0.99534	1
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	408	204070	1.0	1
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	II Neoplasms, from cancer register (ICD-O-3)	1430	145631	1.0283	0
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1430	116981	1.0331	0
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	II Neoplasms, from cancer register (ICD-O-3)	7638	252767	1.0378	4
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	7638	204070	1.0378	3
C3_DIGESTIVE_ORGANS_NAS	Malignant neoplasm of other and ill-defined digestive organs	II Neoplasms, from cancer register (ICD-O-3)	94	260311	0.69106	0
C3_DIGESTIVE_ORGANS_NAS_EXALLC	Malignant neoplasm of other and ill-defined digestive organs (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	94	204070	0.69468	0
C3_DLBCL	Diffuse large B-cell lymphoma	II Neoplasms, from cancer register (ICD-O-3)	327	260078	0.97687	0
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	327	204070	0.97687	0
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	II Neoplasms, from cancer register (ICD-O-3)	1369	259036	1.0426	7
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	1369	204070	1.0426	8
C3_EYE_ADNEXA	Malignant neoplasm of eye and adnexa	II Neoplasms, from cancer register (ICD-O-3)	205	260200	0.88389	0
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	205	204070	0.88389	0
C3_EYE_BRAIN_NEURO	"Malignant neoplasm of eye, brain and central nervous system"	II Neoplasms, from cancer register (ICD-O-3)	1897	258508	1.0331	0
C3_EYE_BRAIN_NEURO_EXALLC	"Malignant neoplasm of eye, brain and central nervous system (controls excluding all cancers)"	II Neoplasms, from cancer register (ICD-O-3)	1897	204070	1.0283	0
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	II Neoplasms, from cancer register (ICD-O-3)	5045	142016	1.0141	1
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	5045	116981	1.0188	2
C3_FEMALE_GENITAL_NAS	Malignant neoplasm of other and unspecified female genital organs	II Neoplasms, from cancer register (ICD-O-3)	160	146901	0.83365	0
C3_FEMALE_GENITAL_NAS_EXALLC	Malignant neoplasm of other and unspecified female genital organs (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	160	116981	0.82956	0
C3_GBM	Brain glioblastoma	II Neoplasms, from cancer register (ICD-O-3)	145	260260	0.80528	0
C3_GBM_EXALLC	Brain glioblastoma (controls excluding all cancers)	II Neoplasms, from cancer register (ICD-O-3)	145	204070	0.79332	0
C3_HEART_MEDIASTINUM_PLEURA	"Malignant neoplasm of heart, mediastinum and pleura"	II Neoplasms, from cancer register (ICD-O-3)	167	260238	0.83776	0
C3_HEART_MEDIASTINUM_PLEURA_EXALLC	"Malignant neoplasm of heart, mediastinum and pleura (controls excluding all cancers)"	II Neoplasms, from cancer register (ICD-O-3)	167	204066	0.83365	0
