phenocode	name	num_cases	num_controls	gc_lambda	num_gw_significant
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs (other cancers excluded from controls)	4945	63465	1.0321	28
C3_MENINGES	Malignant neoplasm of meninges	513	176386	1.0292	0
C3_MENINGES_EXALLC	Malignant neoplasm of meninges (other cancers excluded from controls)	513	147282	1.0297	0
C3_MESOTHELIOMA	Mesothelioma	100	176799	0.72522	0
C3_MESOTHELIOMA_EXALLC	Mesothelioma (other cancers excluded from controls)	100	147282	0.72113	0
C3_MESTOTHEL_SOFTTISSUE	Melignant neoplasm of mesothelium and soft tissue	384	176515	0.98746	0
C3_MESTOTHEL_SOFTTISSUE_EXALLC	Melignant neoplasm of mesothelium and soft tissue (other cancers excluded from controls)	384	147282	0.98746	0
C3_NSCLC_ADENO	Non-small cell lung cancer, adenocarcinoma	475	176424	1.0197	0
C3_NSCLC_ADENO_EXALLC	Non-small cell lung cancer, adenocarcinoma (other cancers excluded from controls)	475	146940	1.0188	0
C3_NSCLC_SQUAM	Non-small cell lung cancer, squamous	290	176609	0.94738	0
C3_NSCLC_SQUAM_EXALLC	Non-small cell lung cancer, squamous (other cancers excluded from controls)	290	147064	0.94828	0
C3_OESOPHAGUS	Malignant neoplasm of oesophagus	193	176706	0.87792	0
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus (other cancers excluded from controls)	193	147282	0.87835	0
C3_OTHER_SKIN	Other malignant neoplasms of skin (=non-melanoma skin cancer)	8431	168468	1.0542	25
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer) (other cancers excluded from controls)	8431	147282	1.0499	23
C3_OVARY	Malignant neoplasm of ovary	604	99757	1.0407	0
C3_OVARY_EXALLC	Malignant neoplasm of ovary (other cancers excluded from controls)	604	83817	1.0398	0
C3_PANCREAS	Malignant neoplasm of pancreas	519	176380	1.0231	0
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas (other cancers excluded from controls)	519	147282	1.024	0
C3_PROSTATE	Malignant neoplasm of prostate	4754	71784	1.0378	29
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate (other cancers excluded from controls)	4754	63465	1.0378	29
C3_RECTOSIGMOID_JUNCTION	Malignant neoplasm of rectosigmoid junction	152	176747	0.81898	1
C3_RECTOSIGMOID_JUNCTION_EXALLC	Malignant neoplasm of rectosigmoid junction (other cancers excluded from controls)	152	147282	0.82019	1
C3_RECTUM	Malignant neoplasm of rectum	884	176015	1.0374	1
C3_RECTUM_EXALLC	Malignant neoplasm of rectum (other cancers excluded from controls)	884	147282	1.0364	1
C3_RESPIRATORY_INTRATHORACIC	Malignant neoplasm of respiratory system and intrathoracic organs	1703	175196	1.0412	1
C3_RESPIRATORY_INTRATHORACIC_EXALLC	Malignant neoplasm of respiratory system and intrathoracic organs (other cancers excluded from controls)	1703	146121	1.0378	1
C3_SCLC	Small cell lung cancer	155	176744	0.81938	0
C3_SCLC_EXALLC	Small cell lung cancer (other cancers excluded from controls)	155	147152	0.82019	0
C3_SECONDARY_NAS	Secondary malignant neoplasm of other and unspecified sites	123	176776	0.76745	0
C3_SECONDARY_NAS_EXALLC	Secondary malignant neoplasm of other and unspecified sites (other cancers excluded from controls)	123	147282	0.76784	0
C3_SECONDARY_WITHOUT_SITESPEC	Malignant neoplasm, without specification of site	325	176574	0.96864	0
C3_SECONDARY_WITHOUT_SITESPEC_EXALLC	Malignant neoplasm, without specification of site (other cancers excluded from controls)	325	147282	0.96864	0
C3_SKIN	Malignant neoplasm of skin	8433	168466	1.0542	25
C3_SKIN_EXALLC	Malignant neoplasm of skin (other cancers excluded from controls)	8433	147282	1.0489	23
C3_SMALL_INTESTINE	Malignant neoplasm of small intestine	207	176692	0.88218	1
C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine (other cancers excluded from controls)	207	147282	0.8856	1
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	167	176732	0.84106	0
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system (other cancers excluded from controls)	167	147282	0.84188	0
C3_STOMACH	Malignant neoplasm of stomach	506	176393	1.025	0
C3_STOMACH_EXALLC	Malignant neoplasm of stomach (other cancers excluded from controls)	506	147282	1.0235	0
C3_TESTIS	Malignant neoplasm of testis	160	76378	0.83817	1
C3_TESTIS_EXALLC	Malignant neoplasm of testis (other cancers excluded from controls)	160	63465	0.83817	1
C3_THYROID_GLAND	Malignant neoplasm of thyroid gland	811	176088	1.0441	3
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland (other cancers excluded from controls)	811	147282	1.0441	3
C3_UNCERTAIN_SECONDARY	Secondary uncertain malignant neoplasm	1313	175586	1.0254	1
C3_UNCERTAIN_SECONDARY_EXALLC	Secondary uncertain malignant neoplasm (other cancers excluded from controls)	1313	147282	1.0264	1
C3_URINARY_TRACT	Malignant neoplasm of urinary organs	1708	175191	1.0297	0
C3_URINARY_TRACT_EXALLC	Malignant neoplasm of urinary organs (other cancers excluded from controls)	1708	147282	1.0288	0
C3_VULVA	Malignant neoplasm of vulva	105	100256	0.73874	0
C3_VULVA_EXALLC	Malignant neoplasm of vulva (other cancers excluded from controls)	105	83817	0.73799	0
CAMPYLOENTERITIS	Campylobacter enteritis	271	174856	0.94022	0
CARDIAC_ARRHYTM	Cardiac arrhytmias, COPD co-morbidities	25210	114642	1.0802	18
CD2_BENIGN	Benign neoplasms	40783	136116	1.0762	19
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland	510	176389	1.0264	0
CD2_BENIGN_ADRENAL_EXALLC	Benign neoplasm: Adrenal gland (other cancers excluded from controls)	510	146939	1.0288	0
CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal	285	176614	0.95458	0
CD2_BENIGN_ANUS_ANAL_CANAL_EXALLC	Benign neoplasm: Anus and anal canal (other cancers excluded from controls)	285	147109	0.95684	0
CD2_BENIGN_ASCENDING_COLON	Benign neoplasm: Ascending colon	921	175978	1.0383	0
CD2_BENIGN_ASCENDING_COLON_EXALLC	Benign neoplasm: Ascending colon (other cancers excluded from controls)	921	146737	1.0374	0
CD2_BENIGN_BONE_CARTILAGE	Benign neoplasm of bone and articular cartilage	931	175968	1.0393	0
CD2_BENIGN_BONE_CARTILAGE_EXALLC	Benign neoplasm of bone and articular cartilage (other cancers excluded from controls)	931	146541	1.0393	0
CD2_BENIGN_BONE_LONG_LOWER	Benign neoplasm: Long bones of lower limb	338	176561	0.97595	0
CD2_BENIGN_BONE_LONG_LOWER_EXALLC	Benign neoplasm: Long bones of lower limb (other cancers excluded from controls)	338	147013	0.97595	0
CD2_BENIGN_BONE_SHORT_LOWER	Benign neoplasm: Short bones of lower limb	102	176797	0.7241	0
CD2_BENIGN_BONE_SHORT_LOWER_EXALLC	Benign neoplasm: Short bones of lower limb (other cancers excluded from controls)	102	147197	0.72299	0
CD2_BENIGN_BONE_SHORT_UPPER	Benign neoplasm: Short bones of upper limb	161	176738	0.82222	0
CD2_BENIGN_BONE_SHORT_UPPER_EXALLC	Benign neoplasm: Short bones of upper limb (other cancers excluded from controls)	161	147149	0.82344	0
CD2_BENIGN_BRAIN_CNS	Benign neoplasm of brain and other parts of central nervous system	724	176175	1.0398	0
CD2_BENIGN_BRAIN_CNS_EXALLC	Benign neoplasm of brain and other parts of central nervous system (other cancers excluded from controls)	724	146973	1.0393	1
CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial	168	176731	0.83859	0
CD2_BENIGN_BRAIN_SUPRATENT_EXALLC	Benign neoplasm: Brain, supratentorial (other cancers excluded from controls)	168	147209	0.83941	0
CD2_BENIGN_BREAST	Benign neoplasm of breast	1692	98669	1.0369	1
CD2_BENIGN_BREAST_EXALLC	Benign neoplasm of breast (other cancers excluded from controls)	1692	82650	1.034	1
CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung	100	176799	0.71113	0
CD2_BENIGN_BRONCHUS_LUNG_EXALLC	Benign neoplasm: Bronchus and lung (other cancers excluded from controls)	100	147213	0.7115	0
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum	681	176218	1.0465	1
CD2_BENIGN_CAECUM_EXALLC	Benign neoplasm: Caecum (other cancers excluded from controls)	681	146875	1.045	1
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid	393	176506	0.99256	0
CD2_BENIGN_CHOROID_EXALLC	Benign neoplasm: Choroid (other cancers excluded from controls)	393	147008	0.99488	0
CD2_BENIGN_COLON	Benign neoplasm: Colon	5420	171479	1.0518	2
CD2_BENIGN_COLON_EXALLC	Benign neoplasm: Colon (other cancers excluded from controls)	5420	143789	1.0455	3
CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	2497	174402	1.0388	2
CD2_BENIGN_COLON_NOS_EXALLC	Benign neoplasm: Colon, unspecified (other cancers excluded from controls)	2497	145648	1.0374	2
CD2_BENIGN_COLORECANI	Benign neoplasm of colon, rectum, anus and anal canal	6761	170138	1.0499	4
CD2_BENIGN_COLORECANI_EXALLC	Benign neoplasm of colon, rectum, anus and anal canal (other cancers excluded from controls)	6761	142929	1.0494	4
CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	315	176584	0.965	0
CD2_BENIGN_CONJUNCTIVA_EXALLC	Benign neoplasm: Conjunctiva (other cancers excluded from controls)	315	147045	0.96454	0
CD2_BENIGN_CONNECTIVE_SOFT	Other benign neoplasms of connective and other soft tissue	1153	175746	1.0231	0
CD2_BENIGN_CONNECTIVE_SOFT_EXALLC	Other benign neoplasms of connective and other soft tissue (other cancers excluded from controls)	1153	146405	1.0221	0
CD2_BENIGN_CONNSOFT_HEADFACETRUNK	Benign neoplasm: Connective and other soft tissue of head, face and neck	209	176690	0.87835	0
CD2_BENIGN_CONNSOFT_HEADFACETRUNK_EXALLC	Benign neoplasm: Connective and other soft tissue of head, face and neck (other cancers excluded from controls)	209	147126	0.87792	0
CD2_BENIGN_CONNSOFT_LOWERLIMB	Benign neoplasm: Connective and other soft tissue of lower limb, including hip	264	176635	0.93487	0
CD2_BENIGN_CONNSOFT_LOWERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of lower limb, including hip (other cancers excluded from controls)	264	147087	0.93621	0
CD2_BENIGN_CONNSOFT_NOS	Benign neoplasm: Connective and other soft tissue, unspecified	118	176781	0.73648	1
CD2_BENIGN_CONNSOFT_NOS_EXALLC	Benign neoplasm: Connective and other soft tissue, unspecified (other cancers excluded from controls)	118	147196	0.72934	1
CD2_BENIGN_CONNSOFT_UPPERLIMB	Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder	442	176457	0.9972	0
CD2_BENIGN_CONNSOFT_UPPERLIMB_EXALLC	Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder (other cancers excluded from controls)	442	146926	0.99581	0
CD2_BENIGN_CRANIAL_NERVE	Benign neoplasm: Cranial nerves	275	176624	0.94603	0
CD2_BENIGN_CRANIAL_NERVE_EXALLC	Benign neoplasm: Cranial nerves (other cancers excluded from controls)	275	147167	0.94738	0
CD2_BENIGN_DESCENDING_COLON	Benign neoplasm: Descending colon	487	176412	1.0231	0
CD2_BENIGN_DESCENDING_COLON_EXALLC	Benign neoplasm: Descending colon (other cancers excluded from controls)	487	146995	1.0193	0
CD2_BENIGN_DUODENUM	Benign neoplasm: Duodenum	227	176672	0.90369	0
CD2_BENIGN_DUODENUM_EXALLC	Benign neoplasm: Duodenum (other cancers excluded from controls)	227	147137	0.90586	0
CD2_BENIGN_EAR_NASAL_SINUS	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses	378	176521	0.99441	0
CD2_BENIGN_EAR_NASAL_SINUS_EXALLC	Benign neoplasm: Middle ear, nasal cavity and accessory sinuses (other cancers excluded from controls)	378	147013	0.99209	1
CD2_BENIGN_EAR_RESP	Benign neoplasm of middle ear and respiratory system	757	176142	1.0354	0
CD2_BENIGN_EAR_RESP_EXALLC	Benign neoplasm of middle ear and respiratory system (other cancers excluded from controls)	757	146723	1.035	0
CD2_BENIGN_ENDOCRINE_OTH	Benign neoplasm of other and unspecified endocrine glands	1154	175745	1.047	0
CD2_BENIGN_ENDOCRINE_OTH_EXALLC	Benign neoplasm of other and unspecified endocrine glands (other cancers excluded from controls)	1154	146451	1.0475	0
CD2_BENIGN_EXALLC	Benign neoplasms (other cancers excluded from controls)	40783	117904	1.0782	20
CD2_BENIGN_EYE	Benign neoplasm of eye and adnexa	872	176027	1.0264	0
CD2_BENIGN_EYE_EXALLC	Benign neoplasm of eye and adnexa (other cancers excluded from controls)	872	146655	1.0254	0
CD2_BENIGN_FEMALE_GEN_OTH	Benign neoplasm of other and unspecified female genital organs	537	99824	1.0288	0
CD2_BENIGN_FEMALE_GEN_OTH_EXALLC	Benign neoplasm of other and unspecified female genital organs (other cancers excluded from controls)	537	83410	1.0297	0
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA	Haemangioma and lymphangioma, any site	928	175971	1.0311	2
CD2_BENIGN_HEAMANGIOMA_LYMPHANGIOMA_EXALLC	Haemangioma and lymphangioma, any site (other cancers excluded from controls)	928	146571	1.0354	2
CD2_BENIGN_HEMANGIOMA	Haemangioma, any site	863	176036	1.0326	1
CD2_BENIGN_HEMANGIOMA_EXALLC	Haemangioma, any site (other cancers excluded from controls)	863	146621	1.0364	2
CD2_BENIGN_KIDNEY	Benign neoplasm: Kidney	279	176620	0.94335	0
CD2_BENIGN_KIDNEY_EXALLC	Benign neoplasm: Kidney (other cancers excluded from controls)	279	147105	0.94335	0
CD2_BENIGN_LARYNX	Benign neoplasm: Larynx	285	176614	0.94067	0
CD2_BENIGN_LARYNX_EXALLC	Benign neoplasm: Larynx (other cancers excluded from controls)	285	147058	0.94111	0
CD2_BENIGN_LEIOMYOMA_UTERI	Leiomyoma of uterus	14569	85792	1.0752	42
CD2_BENIGN_LEIOMYOMA_UTERI_EXALLC	Leiomyoma of uterus (other cancers excluded from controls)	14569	72789	1.0698	40
CD2_BENIGN_LIP	Benign neoplasm: Lip	244	176655	0.92205	0
CD2_BENIGN_LIPOMATOUS	Benign lipomatous neoplasm	3815	173084	1.0193	0
CD2_BENIGN_LIPOMATOUS_EXALLC	Benign lipomatous neoplasm (other cancers excluded from controls)	3815	144400	1.0207	0
CD2_BENIGN_LIPO_NOS	Benign lipomatous neoplasm of other sites/unspecified	1135	175764	1.0441	0
CD2_BENIGN_LIPO_NOS_EXALLC	Benign lipomatous neoplasm of other sites/unspecified (other cancers excluded from controls)	1135	146440	1.045	0
CD2_BENIGN_LIPO_SKIN_HEADFACENECK	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck	740	176159	1.0335	0
CD2_BENIGN_LIPO_SKIN_HEADFACENECK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck (other cancers excluded from controls)	740	146725	1.0326	0
CD2_BENIGN_LIPO_SKIN_LIMBS	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs	857	176042	1.0417	0
CD2_BENIGN_LIPO_SKIN_LIMBS_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of limbs (other cancers excluded from controls)	857	146638	1.0422	0
CD2_BENIGN_LIPO_SKIN_TRUNK	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk	1410	175489	1.0283	0
CD2_BENIGN_LIPO_SKIN_TRUNK_EXALLC	Benign lipomatous neoplasm of skin and subcutaneous tissue of trunk (other cancers excluded from controls)	1410	146209	1.0359	1
CD2_BENIGN_LIP_EXALLC	Benign neoplasm: Lip (other cancers excluded from controls)	244	147113	0.92293	0
CD2_BENIGN_LIVER	Benign neoplasm: Liver	181	176718	0.85893	0
