CID	BIOCHEMICAL_NAME	SUPER_PATHWAY	HMDB_ID	LINK
C100000282	N-acetylglutamate	Amino_Acid	HMDB0001138	http://share.sph.umich.edu/metsim_metabqtl/C100000282_primary_mac5.epacts.gz
C100000285	N-alpha-acetylornithine	Amino_Acid	HMDB0003357	http://share.sph.umich.edu/metsim_metabqtl/C100000285_primary_mac5.epacts.gz
C100000295	tartarate	Xenobiotics	HMDB0059916,HMDB0062642	http://share.sph.umich.edu/metsim_metabqtl/C100000295_primary_mac5.epacts.gz
C100000299	xanthosine	Nucleotide	HMDB0000299	http://share.sph.umich.edu/metsim_metabqtl/C100000299_primary_mac5.epacts.gz
C100000406	ribitol	Carbohydrate	HMDB0000508	http://share.sph.umich.edu/metsim_metabqtl/C100000406_primary_mac5.epacts.gz
C100000436	glycodeoxycholate	Lipid	HMDB0000631	http://share.sph.umich.edu/metsim_metabqtl/C100000436_primary_mac5.epacts.gz
C100000437	theophylline	Xenobiotics	HMDB0001889	http://share.sph.umich.edu/metsim_metabqtl/C100000437_primary_mac5.epacts.gz
C100000442	quinate	Xenobiotics	HMDB0003072	http://share.sph.umich.edu/metsim_metabqtl/C100000442_primary_mac5.epacts.gz
C100000445	theobromine	Xenobiotics	HMDB0002825	http://share.sph.umich.edu/metsim_metabqtl/C100000445_primary_mac5.epacts.gz
C100000447	gentisate	Amino_Acid	HMDB0000152	http://share.sph.umich.edu/metsim_metabqtl/C100000447_primary_mac5.epacts.gz
C100000453	paraxanthine	Xenobiotics	HMDB0001860	http://share.sph.umich.edu/metsim_metabqtl/C100000453_primary_mac5.epacts.gz
C100000454	5-aminovalerate	Amino_Acid	HMDB0003355	http://share.sph.umich.edu/metsim_metabqtl/C100000454_primary_mac5.epacts.gz
C100000463	indolelactate	Amino_Acid	HMDB0000671	http://share.sph.umich.edu/metsim_metabqtl/C100000463_primary_mac5.epacts.gz
C100000467	3-indoxyl sulfate	Amino_Acid	HMDB0000682	http://share.sph.umich.edu/metsim_metabqtl/C100000467_primary_mac5.epacts.gz
C100000491	gamma-glutamylphenylalanine	Peptide	HMDB0000594	http://share.sph.umich.edu/metsim_metabqtl/C100000491_primary_mac5.epacts.gz
C100000551	4-methyl-2-oxopentanoate	Amino_Acid	HMDB0000695	http://share.sph.umich.edu/metsim_metabqtl/C100000551_primary_mac5.epacts.gz
C100000580	1,5-anhydroglucitol (1,5-AG)	Carbohydrate	HMDB0002712	http://share.sph.umich.edu/metsim_metabqtl/C100000580_primary_mac5.epacts.gz
C100000584	2-arachidonoylglycerol (20:4)	Lipid	HMDB0004666	http://share.sph.umich.edu/metsim_metabqtl/C100000584_primary_mac5.epacts.gz
C100000611	1-palmityl-GPC (O-16:0)	Lipid		http://share.sph.umich.edu/metsim_metabqtl/C100000611_primary_mac5.epacts.gz
C100000616	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	HMDB0009815	http://share.sph.umich.edu/metsim_metabqtl/C100000616_primary_mac5.epacts.gz
C100000626	sphingosine 1-phosphate	Lipid	HMDB0000277	http://share.sph.umich.edu/metsim_metabqtl/C100000626_primary_mac5.epacts.gz
C100000630	1-oleoyl-GPS (18:1)	Lipid	HMDB0240603	http://share.sph.umich.edu/metsim_metabqtl/C100000630_primary_mac5.epacts.gz
C100000639	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	HMDB0010163	http://share.sph.umich.edu/metsim_metabqtl/C100000639_primary_mac5.epacts.gz
C100000656	1-stearoyl-GPI (18:0)	Lipid	HMDB0061696	http://share.sph.umich.edu/metsim_metabqtl/C100000656_primary_mac5.epacts.gz
C100000657	1,2-dipalmitoyl-GPC (16:0/16:0)	Lipid	HMDB0000564	http://share.sph.umich.edu/metsim_metabqtl/C100000657_primary_mac5.epacts.gz
C100000660	1,2-distearoyl-GPC (18:0/18:0)	Lipid	HMDB0008036	http://share.sph.umich.edu/metsim_metabqtl/C100000660_primary_mac5.epacts.gz
C100000665	docosahexaenoate (DHA; 22:6n3)	Lipid	HMDB0002183	http://share.sph.umich.edu/metsim_metabqtl/C100000665_primary_mac5.epacts.gz
C100000672	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	Lipid	HMDB0007869	http://share.sph.umich.edu/metsim_metabqtl/C100000672_primary_mac5.epacts.gz
C100000706	alpha-hydroxyisocaproate	Amino_Acid	HMDB0000746	http://share.sph.umich.edu/metsim_metabqtl/C100000706_primary_mac5.epacts.gz
C100000707	maleate	Lipid	HMDB0000176	http://share.sph.umich.edu/metsim_metabqtl/C100000707_primary_mac5.epacts.gz
C100000708	isovalerate (i5:0)	Amino_Acid	HMDB0000718	http://share.sph.umich.edu/metsim_metabqtl/C100000708_primary_mac5.epacts.gz
C100000711	4-acetylphenol sulfate	Xenobiotics		http://share.sph.umich.edu/metsim_metabqtl/C100000711_primary_mac5.epacts.gz
C100000715	1-methylguanidine	Amino_Acid	HMDB0001522	http://share.sph.umich.edu/metsim_metabqtl/C100000715_primary_mac5.epacts.gz
C100000743	2-hydroxyoctanoate	Lipid	HMDB0002264	http://share.sph.umich.edu/metsim_metabqtl/C100000743_primary_mac5.epacts.gz
C100000765	levulinate (4-oxovalerate)	Xenobiotics	HMDB0000720	http://share.sph.umich.edu/metsim_metabqtl/C100000765_primary_mac5.epacts.gz
C100000773	3-hydroxyoctanoate	Lipid	HMDB0001954	http://share.sph.umich.edu/metsim_metabqtl/C100000773_primary_mac5.epacts.gz
C100000774	phenyllactate (PLA)	Amino_Acid	HMDB0000779	http://share.sph.umich.edu/metsim_metabqtl/C100000774_primary_mac5.epacts.gz
C100000776	palmitoylcarnitine (C16)	Lipid	HMDB0000222	http://share.sph.umich.edu/metsim_metabqtl/C100000776_primary_mac5.epacts.gz
C100000781	hexanoylcarnitine (C6)	Lipid	HMDB0000705	http://share.sph.umich.edu/metsim_metabqtl/C100000781_primary_mac5.epacts.gz
C100000784	theanine	Xenobiotics	HMDB0034365	http://share.sph.umich.edu/metsim_metabqtl/C100000784_primary_mac5.epacts.gz
C100000787	N-acetylaspartate (NAA)	Amino_Acid	HMDB0000812	http://share.sph.umich.edu/metsim_metabqtl/C100000787_primary_mac5.epacts.gz
C100000792	dehydroepiandrosterone sulfate (DHEA-S)	Lipid	HMDB0001032	http://share.sph.umich.edu/metsim_metabqtl/C100000792_primary_mac5.epacts.gz
C100000802	acetylcarnitine (C2)	Lipid	HMDB0000201	http://share.sph.umich.edu/metsim_metabqtl/C100000802_primary_mac5.epacts.gz
C100000808	cysteine s-sulfate	Amino_Acid	HMDB0000731	http://share.sph.umich.edu/metsim_metabqtl/C100000808_primary_mac5.epacts.gz
C100000827	1-palmitoylglycerol (16:0)	Lipid	HMDB0011564	http://share.sph.umich.edu/metsim_metabqtl/C100000827_primary_mac5.epacts.gz
C100000840	tartronate (hydroxymalonate)	Xenobiotics	HMDB0035227	http://share.sph.umich.edu/metsim_metabqtl/C100000840_primary_mac5.epacts.gz
C100000841	oxalate (ethanedioate)	Cofactors_and_Vitamins	HMDB0002329	http://share.sph.umich.edu/metsim_metabqtl/C100000841_primary_mac5.epacts.gz
C100000846	erythritol	Xenobiotics	HMDB0002994	http://share.sph.umich.edu/metsim_metabqtl/C100000846_primary_mac5.epacts.gz
C100000870	saccharin	Xenobiotics	HMDB0029723	http://share.sph.umich.edu/metsim_metabqtl/C100000870_primary_mac5.epacts.gz
C100000900	iminodiacetate (IDA)	Xenobiotics	HMDB0011753	http://share.sph.umich.edu/metsim_metabqtl/C100000900_primary_mac5.epacts.gz
C100000924	1-oleoylglycerol (18:1)	Lipid	HMDB0011567	http://share.sph.umich.edu/metsim_metabqtl/C100000924_primary_mac5.epacts.gz
C100000936	3-methyl-2-oxobutyrate	Amino_Acid	HMDB0000019	http://share.sph.umich.edu/metsim_metabqtl/C100000936_primary_mac5.epacts.gz
C100000943	2-oleoylglycerol (18:1)	Lipid	HMDB0011537	http://share.sph.umich.edu/metsim_metabqtl/C100000943_primary_mac5.epacts.gz
C100000961	homoarginine	Amino_Acid	HMDB0000670	http://share.sph.umich.edu/metsim_metabqtl/C100000961_primary_mac5.epacts.gz
C100000963	homocitrulline	Amino_Acid	HMDB0000679	http://share.sph.umich.edu/metsim_metabqtl/C100000963_primary_mac5.epacts.gz
C100000966	pyroglutamylglutamine	Peptide	HMDB0039229	http://share.sph.umich.edu/metsim_metabqtl/C100000966_primary_mac5.epacts.gz
C100000967	bradykinin	Peptide	HMDB0004246	http://share.sph.umich.edu/metsim_metabqtl/C100000967_primary_mac5.epacts.gz
C100000987	2-linoleoylglycerol (18:2)	Lipid	HMDB0011538	http://share.sph.umich.edu/metsim_metabqtl/C100000987_primary_mac5.epacts.gz
C100000997	3-hydroxydecanoate	Lipid	HMDB0002203	http://share.sph.umich.edu/metsim_metabqtl/C100000997_primary_mac5.epacts.gz
C100001002	EDTA	Xenobiotics	HMDB0015109	http://share.sph.umich.edu/metsim_metabqtl/C100001002_primary_mac5.epacts.gz
C100001006	N-acetylglycine	Amino_Acid	HMDB0000532	http://share.sph.umich.edu/metsim_metabqtl/C100001006_primary_mac5.epacts.gz
C100001007	ribonate	Carbohydrate	HMDB0000867	http://share.sph.umich.edu/metsim_metabqtl/C100001007_primary_mac5.epacts.gz
C100001022	threonate	Cofactors_and_Vitamins	HMDB0000943	http://share.sph.umich.edu/metsim_metabqtl/C100001022_primary_mac5.epacts.gz
C100001026	galactonate	Carbohydrate	HMDB0000565	http://share.sph.umich.edu/metsim_metabqtl/C100001026_primary_mac5.epacts.gz
C100001034	indoleacetate	Amino_Acid	HMDB0000197	http://share.sph.umich.edu/metsim_metabqtl/C100001034_primary_mac5.epacts.gz
C100001040	1-linoleoylglycerol (18:2)	Lipid	HMDB0011568	http://share.sph.umich.edu/metsim_metabqtl/C100001040_primary_mac5.epacts.gz
C100001048	2-palmitoylglycerol (16:0)	Lipid	HMDB0011533	http://share.sph.umich.edu/metsim_metabqtl/C100001048_primary_mac5.epacts.gz
C100001051	1-methylhistidine	Amino_Acid	HMDB0000001	http://share.sph.umich.edu/metsim_metabqtl/C100001051_primary_mac5.epacts.gz
C100001054	butyrylcarnitine (C4)	Lipid	HMDB0002013	http://share.sph.umich.edu/metsim_metabqtl/C100001054_primary_mac5.epacts.gz
C100001055	isobutyrylcarnitine (C4)	Amino_Acid	HMDB0000736	http://share.sph.umich.edu/metsim_metabqtl/C100001055_primary_mac5.epacts.gz
C100001063	7-ketodeoxycholate	Lipid	HMDB0000391	http://share.sph.umich.edu/metsim_metabqtl/C100001063_primary_mac5.epacts.gz
C100001064	glycolithocholate	Lipid	HMDB00698	http://share.sph.umich.edu/metsim_metabqtl/C100001064_primary_mac5.epacts.gz
C100001073	androsterone sulfate	Lipid	HMDB0002759	http://share.sph.umich.edu/metsim_metabqtl/C100001073_primary_mac5.epacts.gz
C100001083	indolepropionate	Amino_Acid	HMDB0002302	http://share.sph.umich.edu/metsim_metabqtl/C100001083_primary_mac5.epacts.gz
C100001086	N-(2-furoyl)glycine	Xenobiotics	HMDB0000439	http://share.sph.umich.edu/metsim_metabqtl/C100001086_primary_mac5.epacts.gz
C100001092	trigonelline (N'-methylnicotinate)	Cofactors_and_Vitamins	HMDB0000875	http://share.sph.umich.edu/metsim_metabqtl/C100001092_primary_mac5.epacts.gz
C100001102	dodecanedioate (C12-DC)	Lipid	HMDB0000623	http://share.sph.umich.edu/metsim_metabqtl/C100001102_primary_mac5.epacts.gz
C100001104	N-acetyltyrosine	Amino_Acid	HMDB0000866	http://share.sph.umich.edu/metsim_metabqtl/C100001104_primary_mac5.epacts.gz
C100001106	1,3-dimethylurate	Xenobiotics	HMDB0001857	http://share.sph.umich.edu/metsim_metabqtl/C100001106_primary_mac5.epacts.gz
C100001108	3-methylxanthine	Xenobiotics	HMDB0001886	http://share.sph.umich.edu/metsim_metabqtl/C100001108_primary_mac5.epacts.gz
C100001112	3-hydroxylaurate	Lipid	HMDB0000387	http://share.sph.umich.edu/metsim_metabqtl/C100001112_primary_mac5.epacts.gz
C100001121	pyridoxate	Cofactors_and_Vitamins	HMDB0000017	http://share.sph.umich.edu/metsim_metabqtl/C100001121_primary_mac5.epacts.gz
C100001126	gamma-glutamylvaline	Peptide	HMDB0011172	http://share.sph.umich.edu/metsim_metabqtl/C100001126_primary_mac5.epacts.gz
C100001132	pyroglutamylvaline	Peptide	HMDB0094651	http://share.sph.umich.edu/metsim_metabqtl/C100001132_primary_mac5.epacts.gz
C100001145	3-hydroxysebacate	Lipid	HMDB0000350	http://share.sph.umich.edu/metsim_metabqtl/C100001145_primary_mac5.epacts.gz
C100001148	5-hydroxyhexanoate	Lipid	HMDB0000409;HMDB0000525	http://share.sph.umich.edu/metsim_metabqtl/C100001148_primary_mac5.epacts.gz
C100001150	propionylglycine	Lipid	HMDB0000783	http://share.sph.umich.edu/metsim_metabqtl/C100001150_primary_mac5.epacts.gz
C100001151	butyrylglycine	Lipid	HMDB0000808	http://share.sph.umich.edu/metsim_metabqtl/C100001151_primary_mac5.epacts.gz
C100001153	2-hydroxyadipate	Lipid	HMDB0000321	http://share.sph.umich.edu/metsim_metabqtl/C100001153_primary_mac5.epacts.gz
C100001162	propionylcarnitine (C3)	Lipid	HMDB0000824	http://share.sph.umich.edu/metsim_metabqtl/C100001162_primary_mac5.epacts.gz
C100001167	pro-hydroxy-pro	Amino_Acid	HMDB0006695	http://share.sph.umich.edu/metsim_metabqtl/C100001167_primary_mac5.epacts.gz
C100001170	3-hydroxy-2-ethylpropionate	Amino_Acid	HMDB0000396	http://share.sph.umich.edu/metsim_metabqtl/C100001170_primary_mac5.epacts.gz
C100001178	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	HMDB0061112	http://share.sph.umich.edu/metsim_metabqtl/C100001178_primary_mac5.epacts.gz
C100001181	docosapentaenoate (n3 DPA; 22:5n3)	Lipid	HMDB0006528	http://share.sph.umich.edu/metsim_metabqtl/C100001181_primary_mac5.epacts.gz
C100001182	docosadienoate (22:2n6)	Lipid	HMDB0061714	http://share.sph.umich.edu/metsim_metabqtl/C100001182_primary_mac5.epacts.gz
C100001193	adrenate (22:4n6)	Lipid	HMDB0002226	http://share.sph.umich.edu/metsim_metabqtl/C100001193_primary_mac5.epacts.gz
C100001197	10-undecenoate (11:1n1)	Lipid	HMDB0033724	http://share.sph.umich.edu/metsim_metabqtl/C100001197_primary_mac5.epacts.gz
C100001198	myristoleate (14:1n5)	Lipid	HMDB0002000	http://share.sph.umich.edu/metsim_metabqtl/C100001198_primary_mac5.epacts.gz
C100001208	1-methyl-4-imidazoleacetate	Amino_Acid	HMDB0002820	http://share.sph.umich.edu/metsim_metabqtl/C100001208_primary_mac5.epacts.gz
C100001211	sebacate (C10-DC)	Lipid	HMDB0000792	http://share.sph.umich.edu/metsim_metabqtl/C100001211_primary_mac5.epacts.gz
C100001212	guanidinosuccinate	Amino_Acid	HMDB0003157	http://share.sph.umich.edu/metsim_metabqtl/C100001212_primary_mac5.epacts.gz
C100001226	I-urobilinogen	Cofactors_and_Vitamins	HMDB0004157	http://share.sph.umich.edu/metsim_metabqtl/C100001226_primary_mac5.epacts.gz
C100001229	stearidonate (18:4n3)	Lipid	HMDB0006547	http://share.sph.umich.edu/metsim_metabqtl/C100001229_primary_mac5.epacts.gz
C100001232	5-dodecenoate (12:1n7)	Lipid	HMDB0000529	http://share.sph.umich.edu/metsim_metabqtl/C100001232_primary_mac5.epacts.gz
C100001247	octanoylcarnitine (C8)	Lipid	HMDB0000791	http://share.sph.umich.edu/metsim_metabqtl/C100001247_primary_mac5.epacts.gz
C100001250	tauro-beta-muricholate	Lipid	HMDB0000932	http://share.sph.umich.edu/metsim_metabqtl/C100001250_primary_mac5.epacts.gz
C100001251	decanoylcarnitine (C10)	Lipid	HMDB0000651	http://share.sph.umich.edu/metsim_metabqtl/C100001251_primary_mac5.epacts.gz
C100001253	N-acetylglutamine	Amino_Acid	HMDB0006029	http://share.sph.umich.edu/metsim_metabqtl/C100001253_primary_mac5.epacts.gz
C100001254	N-acetyltryptophan	Amino_Acid	HMDB0013713	http://share.sph.umich.edu/metsim_metabqtl/C100001254_primary_mac5.epacts.gz
C100001256	N-acetylphenylalanine	Amino_Acid	HMDB0000512	http://share.sph.umich.edu/metsim_metabqtl/C100001256_primary_mac5.epacts.gz
C100001262	gamma-glutamyl-epsilon-lysine	Peptide	HMDB0003869	http://share.sph.umich.edu/metsim_metabqtl/C100001262_primary_mac5.epacts.gz
C100001263	1-palmitoyl-GPC (16:0)	Lipid	HMDB0010382,HMDB0240262	http://share.sph.umich.edu/metsim_metabqtl/C100001263_primary_mac5.epacts.gz
C100001264	1-margaroyl-GPC (17:0)	Lipid	HMDB0012108	http://share.sph.umich.edu/metsim_metabqtl/C100001264_primary_mac5.epacts.gz
C100001266	N-acetylarginine	Amino_Acid	HMDB0004620	http://share.sph.umich.edu/metsim_metabqtl/C100001266_primary_mac5.epacts.gz
C100001267	piperine	Xenobiotics	HMDB0029377	http://share.sph.umich.edu/metsim_metabqtl/C100001267_primary_mac5.epacts.gz
C100001268	glycylphenylalanine	Peptide	HMDB0028848	http://share.sph.umich.edu/metsim_metabqtl/C100001268_primary_mac5.epacts.gz
C100001269	campesterol	Lipid	HMDB0002869	http://share.sph.umich.edu/metsim_metabqtl/C100001269_primary_mac5.epacts.gz
C100001270	myristoylcarnitine (C14)	Lipid	HMDB0005066	http://share.sph.umich.edu/metsim_metabqtl/C100001270_primary_mac5.epacts.gz
C100001271	1-stearoyl-GPC (18:0)	Lipid	HMDB0010384,HMDB0011128	http://share.sph.umich.edu/metsim_metabqtl/C100001271_primary_mac5.epacts.gz
C100001272	1-oleoyl-GPC (18:1)	Lipid	HMDB0002815,HMDB0010385	http://share.sph.umich.edu/metsim_metabqtl/C100001272_primary_mac5.epacts.gz
C100001274	N-acetylthreonine	Amino_Acid	HMDB0062557	http://share.sph.umich.edu/metsim_metabqtl/C100001274_primary_mac5.epacts.gz
C100001276	N-acetylisoleucine	Amino_Acid	HMDB0061684	http://share.sph.umich.edu/metsim_metabqtl/C100001276_primary_mac5.epacts.gz
C100001277	10-nonadecenoate (19:1n9)	Lipid	HMDB0013622	http://share.sph.umich.edu/metsim_metabqtl/C100001277_primary_mac5.epacts.gz
C100001278	10-heptadecenoate (17:1n7)	Lipid	HMDB0060038	http://share.sph.umich.edu/metsim_metabqtl/C100001278_primary_mac5.epacts.gz
C100001279	hyocholate	Lipid	HMDB0000760	http://share.sph.umich.edu/metsim_metabqtl/C100001279_primary_mac5.epacts.gz
C100001281	HWESASLLR	Peptide		http://share.sph.umich.edu/metsim_metabqtl/C100001281_primary_mac5.epacts.gz
C100001287	epiandrosterone sulfate	Lipid	HMDB0062657	http://share.sph.umich.edu/metsim_metabqtl/C100001287_primary_mac5.epacts.gz
C100001292	bradykinin, des-arg(9)	Peptide	HMDB04246	http://share.sph.umich.edu/metsim_metabqtl/C100001292_primary_mac5.epacts.gz
C100001293	N-acetylhistidine	Amino_Acid	HMDB0032055	http://share.sph.umich.edu/metsim_metabqtl/C100001293_primary_mac5.epacts.gz
C100001294	gamma-glutamylglycine	Peptide	HMDB0011667	http://share.sph.umich.edu/metsim_metabqtl/C100001294_primary_mac5.epacts.gz
C100001295	gamma-glutamyltryptophan	Peptide	HMDB0029160	http://share.sph.umich.edu/metsim_metabqtl/C100001295_primary_mac5.epacts.gz
C100001296	stachydrine	Xenobiotics	HMDB0004827	http://share.sph.umich.edu/metsim_metabqtl/C100001296_primary_mac5.epacts.gz
C100001300	alpha-hydroxyisovalerate	Amino_Acid	HMDB0000407	http://share.sph.umich.edu/metsim_metabqtl/C100001300_primary_mac5.epacts.gz
C100001310	nicotinamide riboside	Cofactors_and_Vitamins	HMDB0000855	http://share.sph.umich.edu/metsim_metabqtl/C100001310_primary_mac5.epacts.gz
C100001313	gamma-glutamylmethionine	Peptide	HMDB0034367	http://share.sph.umich.edu/metsim_metabqtl/C100001313_primary_mac5.epacts.gz
C100001314	gamma-glutamylthreonine	Peptide	HMDB0029159	http://share.sph.umich.edu/metsim_metabqtl/C100001314_primary_mac5.epacts.gz
C100001315	p-cresol sulfate	Xenobiotics	HMDB0011635	http://share.sph.umich.edu/metsim_metabqtl/C100001315_primary_mac5.epacts.gz
C100001316	nicotinate ribonucleoside	Cofactors_and_Vitamins	HMDB0006809	http://share.sph.umich.edu/metsim_metabqtl/C100001316_primary_mac5.epacts.gz
C100001320	erythronate*	Carbohydrate	HMDB0000613	http://share.sph.umich.edu/metsim_metabqtl/C100001320_primary_mac5.epacts.gz
C100001322	Fibrinopeptide A*	Peptide		http://share.sph.umich.edu/metsim_metabqtl/C100001322_primary_mac5.epacts.gz
C100001323	Fibrinopeptide A, des-ala(1)*	Peptide		http://share.sph.umich.edu/metsim_metabqtl/C100001323_primary_mac5.epacts.gz
C100001327	HWESASXX*	Peptide		http://share.sph.umich.edu/metsim_metabqtl/C100001327_primary_mac5.epacts.gz
C100001332	salicyluric glucuronide*	Xenobiotics	HMDB0240252	http://share.sph.umich.edu/metsim_metabqtl/C100001332_primary_mac5.epacts.gz
C100001335	eicosenoate (20:1)	Lipid	HMDB0062436	http://share.sph.umich.edu/metsim_metabqtl/C100001335_primary_mac5.epacts.gz
C100001337	linolenate [alpha or gamma; (18:3n3 or 6)]	Lipid	HMDB0003073	http://share.sph.umich.edu/metsim_metabqtl/C100001337_primary_mac5.epacts.gz
C100001359	aconitate [cis or trans]	Energy	HMDB0000072,HMDB0000958	http://share.sph.umich.edu/metsim_metabqtl/C100001359_primary_mac5.epacts.gz
C100001383	1-myristoyl-GPC (14:0)	Lipid	HMDB0010379	http://share.sph.umich.edu/metsim_metabqtl/C100001383_primary_mac5.epacts.gz
C100001384	1-arachidoyl-GPC (20:0)	Lipid	HMDB0010390	http://share.sph.umich.edu/metsim_metabqtl/C100001384_primary_mac5.epacts.gz
C100001386	heme	Cofactors_and_Vitamins	HMDB0003178	http://share.sph.umich.edu/metsim_metabqtl/C100001386_primary_mac5.epacts.gz
C100001391	stearoylcarnitine (C18)	Lipid	HMDB0000848	http://share.sph.umich.edu/metsim_metabqtl/C100001391_primary_mac5.epacts.gz
C100001392	laurylcarnitine (C12)	Lipid	HMDB0002250	http://share.sph.umich.edu/metsim_metabqtl/C100001392_primary_mac5.epacts.gz
C100001393	isovalerylcarnitine (C5)	Amino_Acid	HMDB0000688	http://share.sph.umich.edu/metsim_metabqtl/C100001393_primary_mac5.epacts.gz
C100001395	1-linoleoyl-GPC (18:2)	Lipid	HMDB0010386	http://share.sph.umich.edu/metsim_metabqtl/C100001395_primary_mac5.epacts.gz
C100001396	7-methylxanthine	Xenobiotics	HMDB0001991	http://share.sph.umich.edu/metsim_metabqtl/C100001396_primary_mac5.epacts.gz
C100001397	1,3,7-trimethylurate	Xenobiotics	HMDB0002123	http://share.sph.umich.edu/metsim_metabqtl/C100001397_primary_mac5.epacts.gz
C100001398	3,7-dimethylurate	Xenobiotics	HMDB0001982	http://share.sph.umich.edu/metsim_metabqtl/C100001398_primary_mac5.epacts.gz
C100001399	1,7-dimethylurate	Xenobiotics	HMDB0011103	http://share.sph.umich.edu/metsim_metabqtl/C100001399_primary_mac5.epacts.gz
C100001400	1-methylurate	Xenobiotics	HMDB0003099	http://share.sph.umich.edu/metsim_metabqtl/C100001400_primary_mac5.epacts.gz
C100001402	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	HMDB0011105	http://share.sph.umich.edu/metsim_metabqtl/C100001402_primary_mac5.epacts.gz
C100001403	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	HMDB0004400	http://share.sph.umich.edu/metsim_metabqtl/C100001403_primary_mac5.epacts.gz
C100001405	1-methylxanthine	Xenobiotics	HMDB0010738	http://share.sph.umich.edu/metsim_metabqtl/C100001405_primary_mac5.epacts.gz
C100001409	N1-methylinosine	Nucleotide	HMDB0002721	http://share.sph.umich.edu/metsim_metabqtl/C100001409_primary_mac5.epacts.gz
C100001412	N2,N2-dimethylguanosine	Nucleotide	HMDB0004824	http://share.sph.umich.edu/metsim_metabqtl/C100001412_primary_mac5.epacts.gz
C100001413	N4-acetylcytidine	Nucleotide	HMDB0005923	http://share.sph.umich.edu/metsim_metabqtl/C100001413_primary_mac5.epacts.gz
C100001415	N6-carbamoylthreonyladenosine	Nucleotide	HMDB0041623	http://share.sph.umich.edu/metsim_metabqtl/C100001415_primary_mac5.epacts.gz
C100001416	orotidine	Nucleotide	HMDB0000788	http://share.sph.umich.edu/metsim_metabqtl/C100001416_primary_mac5.epacts.gz
C100001417	phenylacetylglutamine	Peptide	HMDB0006344	http://share.sph.umich.edu/metsim_metabqtl/C100001417_primary_mac5.epacts.gz
C100001423	4-hydroxyhippurate	Xenobiotics	HMDB0013678	http://share.sph.umich.edu/metsim_metabqtl/C100001423_primary_mac5.epacts.gz
