phenocode	name	category	num_cases	num_controls	gc_lambda	num_gw_significant
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	I Certain infectious and parasitic diseases (AB1_)	4165	197298	1.025	1
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	I Certain infectious and parasitic diseases (AB1_)	6936	211856	1.0169	1
AB1_VIRAL_SKIN_NOS	"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	528	211856	1.0259	0
AB1_VIRAL_WARTS	Viral warts	I Certain infectious and parasitic diseases (AB1_)	1529	211856	1.0446	1
AB1_VIRAN_CNS_INFECTIONS_NOS	"Viral infections of central nervous system, not elsewhere classified/unspecified"	I Certain infectious and parasitic diseases (AB1_)	177	217637	0.84354	0
AB1_WHOOPCOUGH	Whooping cough	I Certain infectious and parasitic diseases (AB1_)	81	197660	0.66782	2
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	I Certain infectious and parasitic diseases (AB1_)	242	218550	0.91153	0
AB1_ZOSTER	Zoster [herpes zoster]	I Certain infectious and parasitic diseases (AB1_)	2080	211856	1.0259	0
ABDOM_HERNIA	Hernia of abodminal wall	XI Diseases of the digestive system (K11_)	7619	211173	1.0669	7
ABDOM_HERNIA_POSTOP	"Hernia of abodminal wall, postoperative"	XI Diseases of the digestive system (K11_)	2551	135524	1.0316	1
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	X Diseases of the respiratory system (J10_)	86	218706	0.68314	0
AD_AM	AlzheimerÕs disease (Atypical or mixed)	Neurological endpoints	800	214893	1.0378	1
AD_AM_EXMORE	AlzheimerÕs disease (Atypical or mixed) (more controls excluded)	Neurological endpoints	800	111471	1.0335	2
AD_EO	AlzheimerÕs disease (Early onset)	Neurological endpoints	587	214885	1.0302	1
AD_EO_EXMORE	AlzheimerÕs disease (Early onset) (more controls excluded)	Neurological endpoints	587	111471	1.0264	1
AD_LO	AlzheimerÕs disease (Late onset)	Neurological endpoints	2670	214871	1.0441	7
AD_LO_EXMORE	AlzheimerÕs disease (Late onset) (more controls excluded)	Neurological endpoints	2670	111471	1.0345	6
AD_U	AlzheimerÕs disease (undefined)	Neurological endpoints	159	214893	0.83079	1
AD_U_EXMORE	AlzheimerÕs disease (undefined) (more controls excluded)	Neurological endpoints	159	111471	0.8316	1
ALCODELIRIUM	Alcohol withdrawal state with deliriumÊ	V Mental and behavioural disorders (F5_)	1210	217582	1.0378	0
ALCOGASTRITIS	Alcoholic gastritis	Alcohol related diseases	250	218542	0.90935	1
ALCOHOLACUTE10	Acute alcohol intoxication	Alcohol related diseases	3266	215526	1.0331	2
ALCOHOLMENTAL	"Mental and behavioural disorders due to alcohol, excluding acute intoxication"	Alcohol related diseases	9672	209120	1.0851	3
ALCOHOL_RELATED	"Alcohol related diseases and deaths, all endoints"	Alcohol related diseases	13361	205431	1.1076	2
ALCOLIVER	Alcoholic liver disease	Alcohol related diseases	1416	217376	1.0412	2
ALCONEURODEGEN	Degeneration of nervous system due to alcohol	Alcohol related diseases	313	218479	0.95323	0
ALCOPANCACU	Acohol-induced acute pancreatitis	Alcohol related diseases	457	218335	1.0084	2
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	977	217815	1.0402	5
ALCOPOLYNEU	Alcohol induced polyneuropathy	Alcohol related diseases	125	218667	0.77289	0
ALCO_PRESCRIPTION	"Use of disulfiram, acamprosate or naltrexone"	Alcohol related diseases	1588	217204	1.035	0
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	XII Diseases of the skin and subcutaneous tissue (L12_)	296	218496	0.96136	1
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	4859	135449	1.0625	7
ALLERG_ASTHMA_EXMORE	Allergic asthma (mode) (more controls excluded)	Asthma and related endpoints	4859	131051	1.062	7
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	5527	212387	1.0484	4
AMN2	Transient global amnesia	Neurological endpoints	1230	210148	1.046	1
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medicament properly administered	XIX Injury, poisoning and certain other consequences of external causes (ST19_)	132	218660	0.7725	0
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	379	59827	0.99534	0
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	58842	59827	1.1422	4
APPENDACUT_COMPLIC	"Acute appendicitis, with complications"	XI Diseases of the digestive system (K11_)	3728	201886	1.025	1
APPENDACUT_NOCOMPLIC	"Acute appendicitis, no complications"	XI Diseases of the digestive system (K11_)	11899	201886	1.0533	4
APPENDICITIS_BROAD	"Appendicitis, broad definition"	XI Diseases of the digestive system (K11_)	16766	201886	1.064	5
ARTHRO_SPEC	Other specific arthropathies	Rheuma endpoints	317	172834	0.9591	0
ARTRHO_POSTDYSENTERIC	Postydysenteric arthropathy	Rheuma endpoints	128	217683	0.77094	1
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	7348	135449	1.0802	5
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	2215	135449	1.0402	1
ASTHMA_ALLERG_EXMORE	Asthma and allergy (more controls excluded)	Asthma and related endpoints	2215	131051	1.0402	1
ASTHMA_CHILD	Childhood asthma (age<16)	Asthma and related endpoints	3025	135449	1.0441	8
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16) (more controls excluded)	Asthma and related endpoints	3025	131051	1.0446	8
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	1184	135449	1.0513	5
ASTHMA_HOSPITAL_MAIN	"Asthma, hospital admissions , main diagnosis only"	Asthma and related endpoints	17433	201359	1.1268	19
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	10095	135449	1.0956	9
ASTHMA_MIXED	Asthma mixed form (mode)	Asthma and related endpoints	724	135449	1.0431	0
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode) (more controls excluded)	Asthma and related endpoints	724	131051	1.0431	0
ASTHMA_MODE	Asthma (mode)	Interstitial lung disease endpoints	19573	135813	1.1345	21
ASTHMA_NAS	"Asthma, unspecified (mode)"	Asthma and related endpoints	9443	135449	1.0728	10
ASTHMA_NAS_EXMORE	"Asthma, unspecified (mode)" (more controls excluded)	Asthma and related endpoints	9443	131051	1.0703	9
ASTHMA_NONALLERG	Non-allergic asthma	Asthma and related endpoints	3155	184148	1.0422	1
ASTHMA_NOS_EXMORE	Undetermined asthma (more controls excluded)	Asthma and related endpoints	1778	131051	1.0436	3
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	4142	135449	1.0659	1
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunit respiratory infection	Asthma and related endpoints	557	135449	1.0345	0
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	5532	135449	1.0596	4
ASTHMA_PNEUMONIA_AND_SEPSIS	Asthma-related pneumonia or sepsis	Asthma and related endpoints	5545	135449	1.061	4
ASTHMA_SEPTICHE_PNEUMONIA	Pneumonia derived septichemia	Asthma and related endpoints	470	208324	1.0094	0
ATOPIC_STRICT	"Atopic  dermatitis, strict definition"	XII Diseases of the skin and subcutaneous tissue (L12_)	5321	213146	1.0601	21
ATOPIC_STRICT_REIMB	"Atopic dermatitis, strict definition with reimbursement"	XII Diseases of the skin and subcutaneous tissue (L12_)	5646	198654	1.0605	22
AUD	"Alcohol use disorder, ICD-based"	V Mental and behavioural disorders (F5_)	8866	209926	1.0826	3
AUD_SWEDISH	"Alcohol use disorder, Swedish definition"	Alcohol related diseases	12204	206588	1.0986	3
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	42202	176590	1.1515	60
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	IV Endocrine, nutritional and metabolic diseases (E4_)	962	172976	1.0494	6
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	I Certain infectious and parasitic diseases (AB1_)	893	216071	1.046	0
BRONCHITIS	Bronchitis	Asthma and related endpoints	27361	191431	1.0689	0
C3_AML	Acute myeloid leukaemia	II Neoplasms, from cancer register (ICD-O-3)	90	218702	0.6817	0
C3_AML_EXALLC	Acute myeloid leukaemia (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	90	174006	0.68709	0
C3_ANUS_ANALCANAL	Malignant neoplasm of anus and anal canal	II Neoplasms, from cancer register (ICD-O-3)	108	218684	0.73988	0
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	108	174006	0.74026	0
C3_BILIARY_TRACT	Malignant neoplasm of other and unspecified parts of biliary tract	II Neoplasms, from cancer register (ICD-O-3)	109	218683	0.73159	0
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	109	174006	0.73723	0
C3_BLADDER	Malignant neoplasm of bladder	II Neoplasms, from cancer register (ICD-O-3)	1115	217677	1.0431	2
C3_BLADDER_EXALLC	Malignant neoplasm of bladder (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1115	174006	1.0426	1
C3_BONE_CARTILAGE	Malignant neoplasm of bone and articular cartilage	II Neoplasms, from cancer register (ICD-O-3)	119	218673	0.75895	1
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	119	174006	0.75934	1
C3_BRAIN	Malignant neoplasm of brain	II Neoplasms, from cancer register (ICD-O-3)	464	218328	1.0231	0
C3_BRAIN_EXALLC	Malignant neoplasm of brain (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	464	174006	1.0226	0
C3_BREAST	Malignant neoplasm of breast	II Neoplasms, from cancer register (ICD-O-3)	8401	115178	1.0533	32
C3_BREAST_EXALLC	Malignant neoplasm of breast (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	8401	99321	1.047	31
C3_BREAST_HER2NEG	"Malignant neoplasm of breast, HER2-negative"	II Neoplasms, from cancer register (ICD-O-3)	7355	116224	1.0499	27
C3_BREAST_HER2NEG_EXALLC	"Malignant neoplasm of breast, HER2-negative" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	7355	99321	1.0499	26
C3_BREAST_HERNEG	"Malignant neoplasm of breast, HER-negative"	II Neoplasms, from cancer register (ICD-O-3)	3092	115947	1.0264	7
C3_BREAST_HERNEG_EXALLC	"Malignant neoplasm of breast, HER-negative" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	3092	99267	1.0278	9
C3_BREAST_HERPLUS	"Malignant neoplasm of breast, HER-positive"	II Neoplasms, from cancer register (ICD-O-3)	4263	119039	1.0321	16
C3_BREAST_HERPLUS_EXALLC	"Malignant neoplasm of breast, HER-positive" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	4263	99267	1.0331	17
C3_BRONCHUS_LUNG	Malignant neoplasm of bronchus and lung	II Neoplasms, from cancer register (ICD-O-3)	1681	217111	1.0499	2
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1681	173993	1.0465	2
C3_CANCER	Malignant neoplasm	II Neoplasms, from cancer register (ICD-O-3)	38036	180756	1.0703	26
C3_CERVIX_UTERI	Malignant neoplasm of cervix uteri	II Neoplasms, from cancer register (ICD-O-3)	1648	121931	1.034	2
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1648	99321	1.034	2
C3_CLL	Chronic lymphocytic leukaemia	II Neoplasms, from cancer register (ICD-O-3)	265	218527	0.93265	0
C3_CLL_EXALLC	Chronic lymphocytic leukaemia (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	265	174004	0.93844	0
C3_COLON	Malignant neoplasm of colon	II Neoplasms, from cancer register (ICD-O-3)	1803	216989	1.0326	0
C3_COLON_ADENO	Colon adenocarcinoma	II Neoplasms, from cancer register (ICD-O-3)	1396	217396	1.0378	0
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1396	174006	1.0359	0
C3_COLON_EXALLC	Malignant neoplasm of colon (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1803	174006	1.0321	0
C3_COLORECTAL	Colorectal cancer	II Neoplasms, from cancer register (ICD-O-3)	3022	215770	1.0273	3
C3_COLORECTAL_EXALLC	Colorectal cancer (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	3022	174006	1.0283	2
C3_CONNECTIVE_SOFT_NAS	Malignant neoplasm of other connective and soft tissue	II Neoplasms, from cancer register (ICD-O-3)	275	218517	0.93665	0
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	275	174006	0.93754	0
C3_CORPUS_UTERI	Malignant neoplasm of corpus uteri	II Neoplasms, from cancer register (ICD-O-3)	1053	122526	1.0383	1
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1053	99321	1.0369	1
C3_DIGESTIVE_ORGANS	Malignant neoplasm of digestive organs	II Neoplasms, from cancer register (ICD-O-3)	5253	213539	1.0335	1
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	5253	174006	1.0345	1
C3_DLBCL	Diffuse large B-cell lymphoma	II Neoplasms, from cancer register (ICD-O-3)	209	218583	0.89332	0
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	209	174006	0.89117	0
C3_ENDOCRINE	Malignant neoplasm of endocrine gland	II Neoplasms, from cancer register (ICD-O-3)	1069	217723	1.0345	4
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1069	174006	1.0316	4
C3_EYE_ADNEXA	Malignant neoplasm of eye and adnexa	II Neoplasms, from cancer register (ICD-O-3)	161	218631	0.81938	0
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	161	174006	0.81938	0
C3_EYE_BRAIN_NEURO	"Malignant neoplasm of eye, brain and central nervous system"	II Neoplasms, from cancer register (ICD-O-3)	1446	217346	1.0345	0
C3_EYE_BRAIN_NEURO_EXALLC	"Malignant neoplasm of eye, brain and central nervous system" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	1446	174006	1.035	0
C3_FEMALE_GENITAL	malignant neoplasm of female genital organs	II Neoplasms, from cancer register (ICD-O-3)	3665	119914	1.0226	1
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	3665	99321	1.0245	1
C3_FEMALE_GENITAL_NAS	Malignant neoplasm of other and unspecified female genital organs	II Neoplasms, from cancer register (ICD-O-3)	106	123473	0.74709	0
C3_FEMALE_GENITAL_NAS_EXALLC	Malignant neoplasm of other and unspecified female genital organs (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	106	99321	0.74785	0
C3_GBM	Brain glioblastoma	II Neoplasms, from cancer register (ICD-O-3)	91	218701	0.69577	1
C3_GBM_EXALLC	Brain glioblastoma (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	91	174006	0.69577	1
C3_HEART_MEDIASTINUM_PLEURA	"Malignant neoplasm of heart, mediastinum and pleura"	II Neoplasms, from cancer register (ICD-O-3)	102	218690	0.71778	1
C3_HEART_MEDIASTINUM_PLEURA_EXALLC	"Malignant neoplasm of heart, mediastinum and pleura" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	102	174006	0.71482	1
C3_KIDNEY_NOTRENALPELVIS	"Malignant neoplasm of kidney, except renal pelvis"	II Neoplasms, from cancer register (ICD-O-3)	971	217821	1.0422	0
C3_KIDNEY_NOTRENALPELVIS_EXALLC	"Malignant neoplasm of kidney, except renal pelvis" (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	971	174006	1.0383	0
C3_LARYNX	Malignant neoplasm of larynx	II Neoplasms, from cancer register (ICD-O-3)	180	218612	0.85059	0
C3_LARYNX_EXALLC	Malignant neoplasm of larynx (all cancers excluded)	II Neoplasms, from cancer register (ICD-O-3)	180	174005	0.851	0
C3_LIP_ORAL_PHARYNX	"Malignant neoplasm of lip, oral cavity and pharynx"	II Neoplasms, from cancer register (ICD-O-3)	126	218666	0.75167	0
