phenocode	name	category	num_cases	num_controls	num_gw_significant
AB1_HELMINTIASES	Helminthiases	Certain infectious and parasitic diseases (AB1_)	429	342070	1
AB1_HEPATITIS_A	Acute hepatitis A	Certain infectious and parasitic diseases (AB1_)	114	340528	0
AB1_HEPATITIS_B	Acute hepatitis B	Certain infectious and parasitic diseases (AB1_)	103	340528	0
AB1_HEPATITIS_OTHER_VIRAL	Other  viral hepatitis	Certain infectious and parasitic diseases (AB1_)	1663	340528	0
AB1_HERPES_SIMPLEX	Herpesviral [herpes simplex] infections	Certain infectious and parasitic diseases (AB1_)	2924	330087	0
AB1_HIV_NOS	Unspecified human immunodeficiency virus [HIV] disease	Certain infectious and parasitic diseases (AB1_)	228	342020	1
AB1_INTESTINAL_INFECTIONS	Intestinal infectious diseases	Certain infectious and parasitic diseases (AB1_)	36620	305879	4
AB1_LATE_SYPHILIS	Late syphilis	Certain infectious and parasitic diseases (AB1_)	300	332788	0
AB1_LISTERIOSIS	Listeriosis	Certain infectious and parasitic diseases (AB1_)	105	303314	0
AB1_MALARIA	Malaria	Certain infectious and parasitic diseases (AB1_)	118	341917	2
AB1_MEASLES	Measles	Certain infectious and parasitic diseases (AB1_)	289	330087	3
AB1_MENINGOCOCCAL	Meningococcal infection	Certain infectious and parasitic diseases (AB1_)	196	303314	0
AB1_MUMPS	Mumps	Certain infectious and parasitic diseases (AB1_)	680	333715	2
AB1_MYCOSES	Mycoses	Certain infectious and parasitic diseases (AB1_)	7055	335444	2
AB1_OTHER_BACTERIAL	Other bacterial diseases	Certain infectious and parasitic diseases (AB1_)	39185	303314	5
AB1_OTHER_BACT_INOTHER	Other bacterial agents as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases (AB1_)	228	340192	0
AB1_OTHER_CESTODE	Other cestode infections	Certain infectious and parasitic diseases (AB1_)	89	342070	0
AB1_OTHER_CHLAMYDIAE	Other diseases caused by chlamydiae	Certain infectious and parasitic diseases (AB1_)	287	342212	0
AB1_OTHER_CONDITIONS	Human immunodeficiency virus [HIV] disease resulting in other conditions	Certain infectious and parasitic diseases (AB1_)	436	342020	0
AB1_OTHER_INFECTIONS	Other infectious diseases	Certain infectious and parasitic diseases (AB1_)	2079	340420	1
AB1_OTHER_MYCOBAC	Infection due to other mycobacteria	Certain infectious and parasitic diseases (AB1_)	353	303314	1
AB1_OTHER_PROTOZOAL	Other protozoal intestinal diseases	Certain infectious and parasitic diseases (AB1_)	281	305879	0
AB1_OTHER_SEPSIS	Other septicaemia	Certain infectious and parasitic diseases (AB1_)	10666	303314	4
AB1_OTHER_SPIROCHAETAL	Other spirochaetal diseases	Certain infectious and parasitic diseases (AB1_)	1983	340516	1
AB1_OTHER_SUPERF_MYCOSIS	Other superficial mycoses	Certain infectious and parasitic diseases (AB1_)	398	335444	1
AB1_OTHER_VIRAL	Other viral diseases	Certain infectious and parasitic diseases (AB1_)	8784	333715	0
AB1_PARASITIC_NOS	Unspecified parasitic disease	Certain infectious and parasitic diseases (AB1_)	206	341156	1
AB1_PEDICULOSIS_ACARIASIS_OTHERINFEST	Pediculosis, acariasis and other infestations	Certain infectious and parasitic diseases (AB1_)	1343	341156	0
AB1_PNEUMOCYSTOSIS	Pneumocystosis	Certain infectious and parasitic diseases (AB1_)	302	341917	0
AB1_POLIOMYELITIS	Acute poliomyelitis	Certain infectious and parasitic diseases (AB1_)	348	340582	0
AB1_PROTOZOAL	Protozoal diseases	Certain infectious and parasitic diseases (AB1_)	582	341917	0
AB1_RESP_TUBERCU_CONF	Respiratory tuberculosis, bacteriologically and histologically confirmed	Certain infectious and parasitic diseases (AB1_)	490	340289	0
AB1_RESP_TUBERCU_NONCONF	Respiratory tuberculosis, not confirmed bacteriologically or histologically	Certain infectious and parasitic diseases (AB1_)	1208	340289	0
AB1_RUBELLA	Rubella [German measles]	Certain infectious and parasitic diseases (AB1_)	855	330087	1
AB1_SALMONELLA_OTH	Other salmonella infections	Certain infectious and parasitic diseases (AB1_)	952	305879	0
AB1_SCABIES	Scabies	Certain infectious and parasitic diseases (AB1_)	973	341156	2
AB1_SCARLET_FEVER	Scarlet fever	Certain infectious and parasitic diseases (AB1_)	166	303314	1
AB1_SEQULAE_INF_NOS	Sequelae of other and unspecified infectious and parasitic diseases	Certain infectious and parasitic diseases (AB1_)	1483	340309	0
AB1_SEQULAE_POLIO	Sequelae of poliomyelitis	Certain infectious and parasitic diseases (AB1_)	193	340309	0
AB1_SEQULAE_TUBERCU	Sequelae of tuberculosis	Certain infectious and parasitic diseases (AB1_)	517	340309	0
AB1_SEQULEAE_OF_INFECTIONS_AND_PARASITES	Sequelae of infectious and parasitic diseases	Certain infectious and parasitic diseases (AB1_)	2190	340309	0
AB1_SEXUAL_TRANSMISSION	Infections with a predominantly sexual mode of transmission	Certain infectious and parasitic diseases (AB1_)	9711	332788	4
AB1_SEXUAL_TRANSMISSION_NOS	Other predominantly sexually transmitted diseases, not elsewhere classified	Certain infectious and parasitic diseases (AB1_)	5097	332788	5
AB1_STREPTO_SEPSIS	Streptococcal septicaemia	Certain infectious and parasitic diseases (AB1_)	2040	303314	0
AB1_STREPTSTAPHYCOCC_INOTHER	Streptococcus and staphylococcus as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases (AB1_)	139	340192	0
AB1_SYPHILIS	Syphilis	Certain infectious and parasitic diseases (AB1_)	577	332788	0
AB1_TOXOPLASMOSIS	Toxoplasmosis	Certain infectious and parasitic diseases (AB1_)	140	341917	0
AB1_TRICHOMONIASIS	Trichomoniasis	Certain infectious and parasitic diseases (AB1_)	199	332788	0
AB1_TUBERCULOSIS	Tuberculosis	Certain infectious and parasitic diseases (AB1_)	2210	340289	2
AB1_TUBERCU_OTH_ORG	Tuberculosis of other organs	Certain infectious and parasitic diseases (AB1_)	612	340289	0
AB1_TULARAEMIA	Tularaemia	Certain infectious and parasitic diseases (AB1_)	263	342109	0
AB1_TYPHOIDPARATHYPHOID	Typhoid and paratyphoid fevers	Certain infectious and parasitic diseases (AB1_)	104	305879	0
AB1_VARICELLA	Varicella [chickenpox]	Certain infectious and parasitic diseases (AB1_)	1146	330087	0
AB1_VIRAAL_CONJUNCT	Viral conjunctivitis	Certain infectious and parasitic diseases (AB1_)	514	333715	0
AB1_VIRAL_CNS	Viral infections of the central nervous system	Certain infectious and parasitic diseases (AB1_)	1917	340582	0
AB1_VIRAL_ENCEPHALITIS_NOS	Viral encephalitis, not elsewhere classified/unspecified	Certain infectious and parasitic diseases (AB1_)	484	340582	1
AB1_VIRAL_HEMOR_FEVER_NOS	Viral haemorrhagic fevers, not elsewhere classified/unspecified	Certain infectious and parasitic diseases (AB1_)	1914	340110	2
AB1_VIRAL_HEPATITIS	Viral hepatitis	Certain infectious and parasitic diseases (AB1_)	1971	340528	0
AB1_VIRAL_INOTHER	Viral agents as the cause of diseases classified to other chapters	Certain infectious and parasitic diseases (AB1_)	482	340192	0
AB1_VIRAL_MENINGITIS	Viral meningitis	Certain infectious and parasitic diseases (AB1_)	909	340582	0
AB1_VIRAL_NOS	Other viral diseases, not elsewhere classified	Certain infectious and parasitic diseases (AB1_)	5244	333715	0
AB1_VIRAL_OTHER_INTEST_INFECTIONS	Viral and other specified intestinal infections	Certain infectious and parasitic diseases (AB1_)	6807	305879	2
AB1_VIRAL_SKIN_MUCOUS_MEMBRANE	Viral infections characterized by skin and mucous membrane lesions	Certain infectious and parasitic diseases (AB1_)	12412	330087	2
AB1_VIRAL_SKIN_NOS	Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified	Certain infectious and parasitic diseases (AB1_)	927	330087	0
AB1_VIRAL_WARTS	Viral warts	Certain infectious and parasitic diseases (AB1_)	2554	330087	2
AB1_VIRAN_CNS_INFECTIONS_NOS	Viral infections of central nervous system, not elsewhere classified/unspecified	Certain infectious and parasitic diseases (AB1_)	276	340582	0
AB1_WHOOPCOUGH	Whooping cough	Certain infectious and parasitic diseases (AB1_)	138	303314	3
AB1_ZOONOTIC_BACTERIAL	Certain zoonotic bacterial diseases	Certain infectious and parasitic diseases (AB1_)	390	342109	0
AB1_ZOSTER	Zoster [herpes zoster]	Certain infectious and parasitic diseases (AB1_)	4220	330087	1
ABDOM_HERNIA	Hernia of abdominal wall	Diseases of the digestive system (K11_)	13529	328970	27
ABDOM_HERNIA_POSTOP	Hernia of abdominal wall, postoperative	Diseases of the digestive system (K11_)	5014	193296	6
ABPA	Allergic bronchopulmonary aspergillosis (ABPA)	COPD and related endpoints	83	133128	0
ACUTE_DRUGADVERS_INTERSTITIAL_LUNG_DISORD	Acute drug-induced interstitial lung disorder	Diseases of the respiratory system (J10_)	177	342322	0
AD_AM_EXMORE	Alzheimer’s disease (Atypical or mixed)	Neurological endpoints	1724	159621	1
AD_EO_EXMORE	Alzheimer’s disease (Early onset)	Neurological endpoints	1070	159621	3
AD_LO_EXMORE	Alzheimer’s disease (Late onset)	Neurological endpoints	5315	159621	12
AD_U_EXMORE	Alzheimer’s disease (undefined)	Neurological endpoints	337	159621	1
ALCODELIRIUM	Alcohol withdrawal state with delirium	Mental and behavioural disorders (F5_)	1879	340620	0
ALCOHOLACUTE10	Acute alcohol intoxication	Alcohol related diseases	5599	335806	0
ALCOHOL_RELATED	Alcohol related diseases and deaths, all endpoints	Alcohol related diseases	22186	320313	15
ALCOPANCACU	Alcohol-induced acute pancreatitis	Alcohol related diseases	830	341669	4
ALCOPANCCHRON	Alcohol-induced chronic pancreatitis	Alcohol related diseases	1619	340880	8
ALCO_PRESCRIPTION	Use of disulfiram, acamprosate or naltrexone	Alcohol related diseases	2409	340090	1
ALLERGIC_CONTACT_DERMA_DRUGS_CONTACT_W_SKIN	Allergic contact dermatitis due to drugs in contact with skin	Diseases of the skin and subcutaneous tissue (L12_)	503	341996	0
ALLERG_ASTHMA	Allergic asthma (mode)	Asthma and related endpoints	8525	193857	21
ALLERG_RHINITIS	Allergic rhinitis	Comorbidities of Asthma	9707	331173	13
AMN2	Transient global amnesia	Neurological endpoints	2153	326319	4
ANAPH_SHOCK_ADVER_EFFECT_CORRE_DRUG_MEDICAM_PROPE_ADMINISTE	Anaphylactic shock due to adverse effect of correct drug or medication properly administered	Injury, poisoning and certain other consequences of external causes (ST19_)	259	342240	0
ANOSMIA	Anosmia	Comorbidities of Neurological endpoints	671	81923	0
ANTIDEPRESSANTS	Depression medications	Comorbidities of Neurological endpoints	93238	81923	49
APPENDACUT_COMPLIC	Acute appendicitis, with complications	Diseases of the digestive system (K11_)	6076	314763	2
APPENDACUT_NOCOMPLIC	Acute appendicitis, no complications	Diseases of the digestive system (K11_)	19630	314763	6
APPENDICITIS_BROAD	Appendicitis, broad definition	Diseases of the digestive system (K11_)	27523	314763	15
ARTHRO_SPEC	Other specific arthropathies	Rheuma endpoints	543	261098	2
ARTRHO_POSTDYSENTERIC	Postdysenteric arthropathy	Rheuma endpoints	231	340569	2
ASTHMA_ACUTE_RESPIRATORY_INFECTIONS	Asthma-related acute respiratory infections	Asthma and related endpoints	14128	305246	17
ASTHMA_ALLERG	Asthma and allergy	Asthma and related endpoints	4106	193857	12
ASTHMA_CHILD_EXMORE	Childhood asthma (age<16)	Asthma and related endpoints	5282	187112	17
ASTHMA_EOSINOPHIL_SUGG	Suggestive for eosinophilic asthma	Comorbidities of Asthma	2179	305246	15
ASTHMA_INFECTIONS	Asthma-related infections	Asthma and related endpoints	19338	305246	23
ASTHMA_MIXED_EXMORE	Asthma mixed form (mode)	Asthma and related endpoints	1567	187112	0
ASTHMA_NAS	Asthma, unspecified (mode)	Asthma and related endpoints	18776	193857	13
ASTHMA_OBESITY	Obesity related asthma	Comorbidities of Asthma	8774	305246	7
ASTHMA_OPPORTUNIST_INFECTIONS	Asthma and opportunity respiratory infection	Asthma and related endpoints	1040	305246	0
ASTHMA_PNEUMONIA	Asthma-related pneumonia	Asthma and related endpoints	10676	305246	5
AUD	Alcohol use disorder, ICD-based	Mental and behavioural disorders (F5_)	14307	328192	4
AUD_SWEDISH	Alcohol use disorder, Swedish definition	Alcohol related diseases	20015	322484	12
AUTOIMMUNE	Autoimmune diseases	Diseases marked as autimmune origin	85418	257081	138
AUTOIMMUNE_HYPERTHYROIDISM	Autoimmune hyperthyroidism	Endocrine, nutritional and metabolic diseases (E4_)	1621	255931	8
AUTOIMMUNE_NONTHYROID	Autoimmune diseases excluding thyroid diseases	Diseases marked as autimmune origin	47304	256302	63
AUTOIMMUNE_NONTHYROID_STRICT	Autoimmune diseases excluding thyroid diseases, strict definition	Diseases marked as autimmune origin	45552	250292	59
BACT_INTEST_INFECTION_NOS	Other specified/unspecified bacterial intestinal infections	Certain infectious and parasitic diseases (AB1_)	1563	337486	0
BLEEDING	Bleeding	Miscellaneous, not yet classified endpoints	31024	311475	2
BMI	Body Mass Index	Quantitative	0	0	0
BMI_IRN	Body Mass Index Inverse	Quantitative	0	0	0
BRONCHITIS	Bronchitis	Asthma and related endpoints	49078	293421	3
BRUXISM	Bruxism	Dental endpoints	359	342140	1
C3_ALL_EXALLC	Acute lymphocytic leukaemia	Neoplasms, from cancer register (ICD-O-3)	164	259583	0
C3_AML_EXALLC	Acute myeloid leukaemia	Neoplasms, from cancer register (ICD-O-3)	199	259582	0
C3_ANUS_ANALCANAL_EXALLC	Malignant neoplasm of anus and anal canal	Neoplasms, from cancer register (ICD-O-3)	86	259583	3
C3_BASAL_CELL_CARCINOMA_EXALLC	Basal cell carcinoma	Neoplasms, from cancer register (ICD-O-3)	16328	259583	72
C3_BASAL_CELL_CARCINOMA_INCLAVO_EXALLC	Basal cell carcinoma, including avohilmo	Neoplasms, from cancer register (ICD-O-3)	16812	259264	74
C3_BILIARY_TRACT_EXALLC	Malignant neoplasm of other and unspecified parts of biliary tract	Neoplasms, from cancer register (ICD-O-3)	227	259583	0
C3_BLADDER_EXALLC	Malignant neoplasm of bladder	Neoplasms, from cancer register (ICD-O-3)	2380	259583	4
C3_BONE_CARTILAGE_EXALLC	Malignant neoplasm of bone and articular cartilage	Neoplasms, from cancer register (ICD-O-3)	189	259583	1
C3_BRAIN_EXALLC	Malignant neoplasm of brain	Neoplasms, from cancer register (ICD-O-3)	774	259583	2
C3_BREAST_EXALLC	Malignant neoplasm of breast	Neoplasms, from cancer register (ICD-O-3)	14000	149394	56
C3_BREAST_HER2NEG_EXALLC	Malignant neoplasm of breast, HER2-negative	Neoplasms, from cancer register (ICD-O-3)	12783	149394	48
C3_BREAST_HERNEG_EXALLC	Malignant neoplasm of breast, HER-negative	Neoplasms, from cancer register (ICD-O-3)	5056	149279	14
C3_BREAST_HERPLUS_EXALLC	Malignant neoplasm of breast, HER-positive	Neoplasms, from cancer register (ICD-O-3)	7729	149279	35
C3_BRONCHUS_LUNG_EXALLC	Malignant neoplasm of bronchus and lung	Neoplasms, from cancer register (ICD-O-3)	5118	259583	5
C3_CANCER_EXALLC	Malignant neoplasm	Neoplasms, from cancer register (ICD-O-3)	71036	259583	50
C3_CERVIX_UTERI_EXALLC	Malignant neoplasm of cervix uteri	Neoplasms, from cancer register (ICD-O-3)	2913	149394	4
C3_CLL_EXALLC	Chronic lymphocytic leukaemia	Neoplasms, from cancer register (ICD-O-3)	500	259580	2
C3_CML_EXALLC	Chronic myeloid leukaemia	Neoplasms, from cancer register (ICD-O-3)	94	259582	1
C3_COLON_ADENO_EXALLC	Colon adenocarcinoma	Neoplasms, from cancer register (ICD-O-3)	2522	259583	4
C3_COLON_EXALLC	Malignant neoplasm of colon	Neoplasms, from cancer register (ICD-O-3)	3292	259583	2
C3_COLORECTAL_EXALLC	Colorectal cancer	Neoplasms, from cancer register (ICD-O-3)	5458	259583	11
C3_CONNECTIVE_SOFT_NAS_EXALLC	Malignant neoplasm of other connective and soft tissue	Neoplasms, from cancer register (ICD-O-3)	434	259583	0
C3_CORPUS_UTERI_EXALLC	Malignant neoplasm of corpus uteri	Neoplasms, from cancer register (ICD-O-3)	1677	149394	0
C3_DIGESTIVE_ORGANS_EXALLC	Malignant neoplasm of digestive organs	Neoplasms, from cancer register (ICD-O-3)	9822	259583	4
C3_DLBCL_EXALLC	Diffuse large B-cell lymphoma	Neoplasms, from cancer register (ICD-O-3)	780	259583	2
C3_ENDOCRINE_EXALLC	Malignant neoplasm of endocrine gland	Neoplasms, from cancer register (ICD-O-3)	1666	259583	9
C3_EYE_ADNEXA_EXALLC	Malignant neoplasm of eye and adnexa	Neoplasms, from cancer register (ICD-O-3)	187	259583	2
C3_FEMALE_GENITAL_EXALLC	malignant neoplasm of female genital organs	Neoplasms, from cancer register (ICD-O-3)	6268	149394	2
C3_FLOOROFMOUTH_EXALLC	Malignant neoplasm of floor of mouth	Neoplasms, from cancer register (ICD-O-3)	99	259583	0
C3_GALLBLADDER_EXALLC	Malignant neoplasm of gallbladder	Neoplasms, from cancer register (ICD-O-3)	84	259583	1
C3_GBM_EXALLC	Brain glioblastoma	Neoplasms, from cancer register (ICD-O-3)	162	259583	0
C3_HEART_MEDIASTINUM_PLEURA_EXALLC	Malignant neoplasm of heart, mediastinum and pleura	Neoplasms, from cancer register (ICD-O-3)	229	259583	0
C3_KIDNEY_NOTRENALPELVIS_EXALLC	Malignant neoplasm of kidney, except renal pelvis	Neoplasms, from cancer register (ICD-O-3)	1830	259583	3
C3_LARYNX_EXALLC	Malignant neoplasm of larynx	Neoplasms, from cancer register (ICD-O-3)	374	259583	1
C3_LIP_EXALLC	Malignant neoplasm of lip	Neoplasms, from cancer register (ICD-O-3)	191	259583	1
C3_LIP_ORAL_PHARYNX_EXALLC	Malignant neoplasm of lip, oral cavity and pharynx	Neoplasms, from cancer register (ICD-O-3)	1445	259583	0
C3_LIVER_INTRAHEPATIC_BILE_DUCTS_EXALLC	Malignant neoplasm of liver and intrahepatic bile ducts	Neoplasms, from cancer register (ICD-O-3)	648	259583	5
C3_LUNG_NONSMALL_EXALLC	Non-small cell lung cancer	Neoplasms, from cancer register (ICD-O-3)	3865	259583	4
C3_MALE_GENITAL_EXALLC	malignant neoplasm of male genital organs	Neoplasms, from cancer register (ICD-O-3)	11971	110189	83
C3_MELANOMA_EXALLC	Malignant melanoma	Neoplasms, from cancer register (ICD-O-3)	3449	259403	10
C3_MELANOMA_SKIN_EXALLC	Malignant melanoma of skin	Neoplasms, from cancer register (ICD-O-3)	2705	259583	9
C3_MENINGES_EXALLC	Malignant neoplasm of meninges	Neoplasms, from cancer register (ICD-O-3)	1043	259583	0
C3_MENINGIOMA_EXALLC	Brain meningioma	Neoplasms, from cancer register (ICD-O-3)	1012	259583	0
C3_MESOTHELIOMA_EXALLC	Mesothelioma	Neoplasms, from cancer register (ICD-O-3)	298	259583	0
C3_NSCLC_ADENO_EXALLC	Non-small cell lung cancer, adenocarcinoma	Neoplasms, from cancer register (ICD-O-3)	1237	259583	1
C3_NSCLC_SQUAM_EXALLC	Non-small cell lung cancer, squamous	Neoplasms, from cancer register (ICD-O-3)	1210	259583	4
C3_OESOPHAGUS_EXALLC	Malignant neoplasm of oesophagus	Neoplasms, from cancer register (ICD-O-3)	503	259583	0
C3_OTHER_SKIN_EXALLC	Other malignant neoplasms of skin (=non-melanoma skin cancer)	Neoplasms, from cancer register (ICD-O-3)	14863	259583	66
C3_OVARY_EXALLC	Malignant neoplasm of ovary	Neoplasms, from cancer register (ICD-O-3)	1264	149394	1
C3_PANCREAS_EXALLC	Malignant neoplasm of pancreas	Neoplasms, from cancer register (ICD-O-3)	1249	259583	3
C3_PAROTIDGLAND_EXALLC	Malignant neoplasm of parotid gland	Neoplasms, from cancer register (ICD-O-3)	136	259583	0
C3_PROSTATE_EXALLC	Malignant neoplasm of prostate	Neoplasms, from cancer register (ICD-O-3)	11590	110189	86
C3_RECTUM_ADENO	Adenocarcinoma and papilloma adenacarcinoma of rectum	Neoplasms, from cancer register (ICD-O-3)	1922	259583	5
C3_RECTUM_EXALLC	Malignant neoplasm of rectum	Neoplasms, from cancer register (ICD-O-3)	2017	259583	3
C3_RENAL_PELVIS_EXALLC	Malignant neoplasm of renal pelvis	Neoplasms, from cancer register (ICD-O-3)	119	259583	0
C3_RESPIRATORY_INTRATHORACIC_EXALLC	Malignant neoplasm of respiratory system and intrathoracic organs	Neoplasms, from cancer register (ICD-O-3)	5858	259583	5
C3_SCLC_EXALLC	Small cell lung cancer	Neoplasms, from cancer register (ICD-O-3)	577	259583	0
C3_SKIN_EXALLC	Malignant neoplasm of skin	Neoplasms, from cancer register (ICD-O-3)	17568	259583	65
C3_SMALL_INTESTINE_EXALLC	Malignant neoplasm of small intestine	Neoplasms, from cancer register (ICD-O-3)	455	259583	2
C3_SPINAL_CORD_CRANIAL_AND_OTHER_CNS_EXALLC	Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system	Neoplasms, from cancer register (ICD-O-3)	336	259583	1
C3_SQUOMOUS_CELL_CARCINOMA_SKIN_EXALLC	Squamous cell neoplasms and carcinomas of the skin	Neoplasms, from cancer register (ICD-O-3)	2749	259583	9
C3_STOMACH_EXALLC	Malignant neoplasm of stomach	Neoplasms, from cancer register (ICD-O-3)	1227	259583	3
C3_TESTIS_EXALLC	Malignant neoplasm of testis	Neoplasms, from cancer register (ICD-O-3)	332	110189	1
C3_THYROID_GLAND_EXALLC	Malignant neoplasm of thyroid gland	Neoplasms, from cancer register (ICD-O-3)	1525	259583	11
C3_TONGUE_EXALLC	Malignant neoplasm of tongue	Neoplasms, from cancer register (ICD-O-3)	353	259583	0
C3_TONSIL_EXALLC	Malignant neoplasm of tonsil	Neoplasms, from cancer register (ICD-O-3)	252	259583	0
C3_URINARY_TRACT_EXALLC	Malignant neoplasm of urinary organs	Neoplasms, from cancer register (ICD-O-3)	4364	259583	5
C3_VAGINA_EXALLC	Malignant neoplasm of vagina	Neoplasms, from cancer register (ICD-O-3)	90	149394	0
C3_VULVA_EXALLC	Malignant neoplasm of vulva	Neoplasms, from cancer register (ICD-O-3)	224	149394	1
CAMPYLOENTERITIS	Campylobacter enteritis	Certain infectious and parasitic diseases (AB1_)	606	337486	0
CARDIAC_ARRHYTM	Cardiac arrhythmias	Comorbidities of COPD	59182	204429	94
CD2_BENIGN_ADRENAL	Benign neoplasm: Adrenal gland	Neoplasms from hospital discharges (CD2_)	1533	340966	2
CD2_BENIGN_ANUS_ANAL_CANAL	Benign neoplasm: Anus and anal canal	Neoplasms from hospital discharges (CD2_)	649	341850	0
CD2_BENIGN_APPENDIX	Benign neoplasm: Appendix	Neoplasms from hospital discharges (CD2_)	224	342275	3
CD2_BENIGN_ASCENDING_COLON	Benign neoplasm: Ascending colon	Neoplasms from hospital discharges (CD2_)	2696	339803	1
CD2_BENIGN_BLADDER	Benign neoplasm: Bladder	Neoplasms from hospital discharges (CD2_)	215	342284	0
CD2_BENIGN_BONE_CARTILAGE	Benign neoplasm of bone and articular cartilage	Neoplasms from hospital discharges (CD2_)	2052	340447	0
CD2_BENIGN_BONE_CARTILAGE_NOS	Benign neoplasm: Bone and articular cartilage, unspecified	Neoplasms from hospital discharges (CD2_)	170	342329	0
CD2_BENIGN_BONE_LONG_LOWER	Benign neoplasm: Long bones of lower limb	Neoplasms from hospital discharges (CD2_)	743	341756	0
CD2_BENIGN_BONE_LOWER_JAW	Benign neoplasm: Lower jaw bone	Neoplasms from hospital discharges (CD2_)	102	342397	0
CD2_BENIGN_BONE_SCAPULA_LONG_UPPER	Benign neoplasm: Scapula and long bones of upper limb	Neoplasms from hospital discharges (CD2_)	220	342279	0
CD2_BENIGN_BONE_SHORT_LOWER	Benign neoplasm: Short bones of lower limb	Neoplasms from hospital discharges (CD2_)	234	342265	0
CD2_BENIGN_BONE_SHORT_UPPER	Benign neoplasm: Short bones of upper limb	Neoplasms from hospital discharges (CD2_)	338	342161	0
CD2_BENIGN_BONE_SKULL_FACE	Benign neoplasm: Bones of skull and face	Neoplasms from hospital discharges (CD2_)	204	342295	1
CD2_BENIGN_BRAIN_CNS	Benign neoplasm of brain and other parts of central nervous system	Neoplasms from hospital discharges (CD2_)	1547	340952	1
CD2_BENIGN_BRAIN_INFRATENT	Benign neoplasm: Brain, infratentorial	Neoplasms from hospital discharges (CD2_)	127	342372	0
CD2_BENIGN_BRAIN_NOS	Benign neoplasm: Brain, unspecified	Neoplasms from hospital discharges (CD2_)	139	342360	0
CD2_BENIGN_BRAIN_SUPRATENT	Benign neoplasm: Brain, supratentorial	Neoplasms from hospital discharges (CD2_)	362	342137	0
CD2_BENIGN_BREAST	Benign neoplasm of breast	Neoplasms from hospital discharges (CD2_)	3257	187622	7
CD2_BENIGN_BRONCHUS_LUNG	Benign neoplasm: Bronchus and lung	Neoplasms from hospital discharges (CD2_)	282	342217	0
CD2_BENIGN_CAECUM	Benign neoplasm: Caecum	Neoplasms from hospital discharges (CD2_)	2099	340400	1
CD2_BENIGN_CERVIX_UTERI	Other benign neoplasm of uterus: Cervix uteri	Neoplasms from hospital discharges (CD2_)	128	190751	0
CD2_BENIGN_CHOROID	Benign neoplasm: Choroid	Neoplasms from hospital discharges (CD2_)	1128	341371	1
CD2_BENIGN_CNS_NOS	Benign neoplasm: Central nervous system, other parts/unspecified	Neoplasms from hospital discharges (CD2_)	81	342418	0
CD2_BENIGN_COLON	Benign neoplasm: Colon	Neoplasms from hospital discharges (CD2_)	14269	328230	11
CD2_BENIGN_COLON_NOS	Benign neoplasm: Colon, unspecified	Neoplasms from hospital discharges (CD2_)	6135	336364	2
CD2_BENIGN_COLORECANI	Benign neoplasm of colon, rectum, anus and anal canal	Neoplasms from hospital discharges (CD2_)	17664	324835	12
CD2_BENIGN_CONJUNCTIVA	Benign neoplasm: Conjunctiva	Neoplasms from hospital discharges (CD2_)	725	341774	1
